ID,Title,Author,Year,Data Origin,Visual Dim,Space Scale Start,Space Scale Finish,Time Scale Start,Time Scale Finish,Level,Multi scale,Human,Phys/Anat,Survey model method tool,Exploration,Analysis,Communication,Purpose test,Purpose comment,Process,*Process,Structure,Origin,Concept,Image Name,Bibtex Authors,Abstract,Keywords,Future work,DOI,in vitaLITy?,in paper
S27,4D flow MRI,Markl et al.,2012,4D flow MRI,3,-3,-1,-2,0,"Tissue, Organ",0,1,Physiology,Survey,0.5,0.5,0,1,survey of methods with partial visual analysis,blood flow,,vessel,Medical imaging,"Review intends to introduce currently used 4D flow MRI methods, including Cartesian andradial data acquisition, approaches for accelerated data ac-quisition, cardiac gating, and respiration control. Note: ""The term “4D flow MRI” used in this review article refers to three-dimensional (3D) data acquired in a time-resolved, ECG-gated, manner with velocity encoding in all three spatial directions.""",---,"Markl, Michael; Frydrychowicz, Alex; Kozerke, Sebastian; Hope, Mike; Wieben, Oliver","Traditionally, magnetic resonance imaging (MRI) of flow using phase contrast (PC) methods is accomplished using methods that resolve single-directional flow in two spatial dimensions (2D) of an individual slice. More recently, three-dimensional (3D) spatial encoding combined with three-directional velocity-encoded phase contrast MRI (here termed 4D flow MRI) has drawn increased attention. 4D flow MRI offers the ability to measure and to visualize the temporal evolution of complex blood flow patterns within an acquired 3D volume. Various methodological improvements permit the acquisition of 4D flow MRI data encompassing individual vascular structures and entire vascular territories such as the heart, the adjacent aorta, the carotid arteries, abdominal, or peripheral vessels within reasonable scan times. To subsequently analyze the flow data by quantitative means and visualization of complex, three-directional blood flow patterns, various tools have been proposed. This review intends to introduce currently used 4D flow MRI methods, including Cartesian and radial data acquisition, approaches for accelerated data acquisition, cardiac gating, and respiration control. Based on these developments, an overview is provided over the potential this new imaging technique has in different parts of the body from the head to the peripheral arteries.",---,---,10.1002/jmri.23632,n,"done, in blood flow "
S28,Comprehensive 4D velocity mapping of the heart and great vessels by cardiovascular magnetic resonance,"Markl, Kilner, Ebbers",2011,PC-MRI,3,-3,-1,-2,0,"Tissue, Organ",0,1,Physiology,Survey,0.75,0.25,0,1,survey of methods with partial visual analysis,blood flow,,Heart,Medical,"cardiovascular magnetic resonance methods for visualizing blood flow; review paper deals principally with the methods and applications of the more comprehensive, 3 dimensional, 3 directionally encoded, time resolved (cine) velocity acquisition",---,"Markl, Michael; Kilner, Philip; Ebbers, Tino","Background: Phase contrast cardiovascular magnetic resonance (CMR) is able to measure all three directional components of the velocities of blood flow relative to the three spatial dimensions and the time course of the heart cycle. In this article, methods used for the acquisition, visualization, and quantification of such datasets are reviewed and illustrated. Methods: Currently, the acquisition of 3D cine (4D) phase contrast velocity data, synchronized relative to both cardiac and respiratory movements takes about ten minutes or more, even when using parallel imaging and optimized pulse sequence design. The large resulting datasets need appropriate post processing for the visualization of multidirectional flow, for example as vector fields, pathlines or streamlines, or for retrospective volumetric quantification. Applications: Multidirectional velocity acquisitions have provided 3D visualization of large scale flow features of the healthy heart and great vessels, and have shown altered patterns of flow in abnormal chambers and vessels. Clinically relevant examples include retrograde streams in atheromatous descending aortas as potential thromboembolic pathways in patients with cryptogenic stroke and marked variations of flow visualized in common aortic pathologies. Compared to standard clinical tools, 4D velocity mapping offers the potential for retrospective quantification of flow and other hemodynamic parameters. Conclusions: Multidirectional, 3D cine velocity acquisitions are contributing to the understanding of normal and pathologically altered blood flow features. Although more rapid and user-friendly strategies for acquisition and analysis may be needed before 4D velocity acquisitions come to be adopted in routine clinical CMR, their capacity to measure multidirectional flows throughout a study volume has contributed novel insights into cardiovascular fluid dynamics in health and disease.",---,---,10.1186/1532-429X-13-7,n,"done, in blood flow "
S29,Molecular Graphics: Bridging Structural Biologists and Computer Scientists,Martinez et al.,2019,"nmr, x-ray crystallography, simulation, cryo EM ",3,-10,-7,-15,0,Molecule,0,1,Physiology/Anatomy,Survey,0.25,0.25,0.5,1,"Very small section of this perspective paper focuses on molecular dynamics, and the aspects that they discuss focus more on exploration and communication of dynamics",molecular dynamics ,,molecules ,vis/computational and structural biology,"relevant quote from paper: ""Biomolecules are intrinsically dynamic and flexible, leading to positional uncertainty. Even if molecular dynamic properties can be measured (Kay, 2016), and modeled in molecular simulations (Bottaro and Lindorff-Larsen, 2018), a clear visualization of such dynamical properties is still a challenge—especially if rendered on a static image.""",martinez.jpeg,"Martinez, Xavier; Krone, Michael; Alharbi, Naif; Rose, Alexander S.; Laramee, Robert S.; O'Donoghue, Sean; Baaden, Marc; Chavent, Matthieu","Visualization of molecular structures is one of the most common tasks carried out by structural biologists, typically using software, such as Chimera, COOT, PyMOL, or VMD. In this Perspective article, we outline how past developments in computer graphics and data visualization have expanded the understanding of biomolecular function, and we summarize recent advances that promise to further transform structural biology. We also highlight how progress in molecular graphics has been impeded by communication barriers between two communities: the computer scientists driving these advances, and the structural and computational biologists who stand to benefit. By pointing to canonical papers and explaining technical progress underlying new graphical developments in simple terms, we aim to improve communication between these communities; this, in turn, would help shape future developments in molecular graphics.",molecular visualizationmolecular graphics,-,10.1016/j.str.2019.09.001,n,"done, in molecular function"
S30,A Survey and Classification of Visualisation in Multiscale Biomedical Applications,Mcfarlane et al.,2012,"simulation, imaging",3,-10,0,-9,6,"Tissue, Organ ",1,1,Anatomy/Physiology (mixed),Survey,0.25,0.25,0.5,1,"many of the cases that are highlighted in figures seem to be more of a communication emphasis, e.g., colonoscopy frog with heart lens, although other works highlighted include exploration and analysis tasks. Communication as main focus here fits with initial concept presented of a Google Maps for the human body",many,,many,Vis,"There are many multiscale techniques, most of which perform one of eight functions: handling large data, interaction mode, representing sub-scale data, magnifying sub-scale data, level of detail, global context, numerical precision and temporal techniques. These functional groups form both a classification and a design menu for developers. Authors talk through works that handle each of these tasks that are multiscale. Note this is not all about physiology, they discuss also just linking anatomical scales",--,"Mcfarlane, N.J.B.; Ma, X.; Clapworthy, G.J.; Bessis, N.; Testi, D.","The MSV project aims to survey current best practice in multiscale visualisation and to construct a software toolkit which will make multiscale techniques readily accessible to biomedical researchers and clinicians. In this paper, current methods for multiscale data visualisation in several domains are reviewed, and a novel classification of multiscale techniques for biomedical applications by function is proposed. The classification will form the basis of a design menu and toolkit for multiscale visualisation.",multiscale,"However, despite numerous calls for multiscale visualisation in the biomedical field [14] there has so far been little demand from applications, outside the fields of protein visualisation and genomics, or the kind of interactive multiscale views that are now common in cartography and astrophysics. Multiscale visualisations have been presented for the lung [15] and for blood flow [16], but thus far these examples are few, and there is no equivalent to Google Earth for the human body.",10.1109/IV.2012.95,y-lower grp,"done, in introduction"
S31,The State of the Art in Multilayer Network Visualization,McGee et al.,2019,omics data ,2,-9,-7,-6,5,Molecule,0,1,Physiology,Survey,0,1,0,1,"tasks identified are mainly in realm of visual analysis tasks: comparison, attribute analysis, annotation, tracking evolution of specific nodes/edges",molecular pathway ,,molecule,Vis,"State of the art report on general multilayer network visualization, life sciences fall into this particular domain ",mcgee.jpg,"McGee, F.; Ghoniem, M.; Melançon, G.; Otjacques, B.; Pinaud, B.","Modelling relationships between entities in real-world systems with a simple graph is a standard approach. However, reality is better embraced as several interdependent subsystems (or layers). Recently the concept of a multilayer network model has emerged from the field of complex systems. This model can be applied to a wide range of real-world datasets. Examples of multilayer networks can be found in the domains of life sciences, sociology, digital humanities and more. Within the domain of graph visualization there are many systems which visualize datasets having many characteristics of multilayer graphs. This report provides a state of the art and a structured analysis of contemporary multilayer network visualization, not only for researchers in visualization, but also for those who aim to visualize multilayer networks in the domain of complex systems, as well as those developing systems across application domains. We have explored the visualization literature to survey visualization techniques suitable for multilayer graph visualization, as well as tools, tasks, and analytic techniques from within application domains. This report also identifies the outstanding challenges for multilayer graph visualization and suggests future research directions for addressing them.","multilayer graph, hierarchical, comparison, node-link, node-edge",roadmap for future research: (1) reframe user needs and data as multilayer network problems (2) closer interaction with application domain communities (3) closer interaction with complex systems communities ,10.1111/cgf.13610,y-in central part with other general network visualization works,done in molecular function
S32,Visualization and User Interaction Methods for Multiscale Biomedical Data,Millán Vaquero et al.,2014,many,3,-9,0,9,5,"Molecule, Organelle, Cell, Tissue, Organ ",1,0,"Physiology, Anatomy",Survey,0.25,0.5,0.25,1,""" Multiscale visualization deals with the question: “How can visualization help in extracting information from several scales that cannot be attained or understood by traditional techniques?”""
All 3 aspects (exploration, communication, analysis) important, more emphasis though spent on analysis needs of domain experts (integration, interoperability, navigation aids)--they mention BD human!",many,,many,visualization,"The creation of an integrated multiscale visualization framework is only possible when the conception is changed: the system should be user- and field-centric. Human perception considerations and tight cooperation between study domains and visualization researchers should become the gold standard. In addition, new concepts in this field, e.g. statistical parameters and the utilization of ontologies, can consolidate experimental data. All these efforts should serve a single purpose: to improve understanding.
In the recent years, interaction strategies underwent a revolution. Technologies that were previously considered too expensive have become widely available. This allows interaction with biomedical data with new (low cost) interfaces, ameliorating the user experience.
Multiscale visualization and interaction are challenging disciplines of research. These areas are constantly evolving and expanding to other fields. Due to a multitude of expertise required, creating a good multiscale design is a demanding task. Future progress in this field will depend on the utilization of current trends and further expansion in user experience and ontological/semantic directions.",vaquero.jpg,"Millán Vaquero, Ricardo Manuel; Rzepecki, Jan; Friese, Karl-Ingo; Wolter, Franz-Erich","The need for handling huge amounts of data from several sources is becoming increasingly important for biomedical scientists. In the past, there were mainly different modalities in imaging techniques that had to be combined. Those modalities usually measured different physical effects from the same object and shared dimensions and resolution. Nowadays, an increasing number of complex use cases exist in biomedical science and clinical diagnostics that require data from various domains, each one related to a different spatiotemporal scale. Multiscale spatial visualization and interaction can help physicians and scientists to explore and understand this data. In the recent years, the number of published articles on efficient scientist-centric visualization and interaction methods has drastically increased. This chapter describes current techniques on multiscale visualization and user interaction and proposes strategies to accommodate current needs in biomedical data analysis.",Multiscale visualization; Multiscale interaction; Biomedical imaging; HCI; Virtual reality ,progress depends on utilization of current trends and further expansion in user experience and ontological/semantic directions.,10.1007/978-1-4471-6275-9_5,n,"done, in introduction"
S33,Big Data Visualization in Cardiology—A Systematic Review and Future Directions,Nazir et al.,2019,"microscopy, imaging",2,-7,-1,-6,0,Organ,0,1,Physiology,Survey,0,0.75,0.25,1,"""The role of visualization is to capture the important information from the data and visualize it for the easiness of the doctors and practitioners. "" Survey focuses on visualization as a tool for summarizing and clarifying information and for analysis of cardiology data for hypotheses. ","heart beat, blood flow",,Heart ,Vis,"detailed report of the existing literature on visualization of data in the field of cardiology. This doesn't really go into details on the papers collected or provide a taxonomy of the papers collected, they really focused on their inclusion/exclusion criteria and their general process for conducting the systematic review. Might cut this. ",--,"Nazir, Shah; Nawaz Khan, Muhammad; Anwar, Sajid; Adnan, Awais; Asadi, Shahla; Shahzad, Sara; Ali, Shaukat","The digital transformations and use of healthcare information system, electronic medical records, wearable technology, and smart devices are increasing with the passage of time. A variety of sources of big data in healthcare are available, such as biometric data, registration data, electronic health record, medical imaging, patient reported data, biomarker data, clinical data, and administrative data. Visualization of data is a key tool for producing images, diagrams, or animations to convey messages from the viewed insight. The role of cardiology in healthcare is obvious for living and life. The function of heart is the control of blood supply to the entire parts of the body. Recent speedy growth in healthcare and the development of computation in the field of cardiology enable researchers and practitioners to mine and visualize new insights from patient data. The role of visualization is to capture the important information from the data and to visualize it for the easiness of doctors and practitioners. To help the doctors and practitioners, the proposed study presents a detailed report of the existing literature on visualization of data in the field of cardiology. This report will support the doctors and practitioners in decision-making process and to make it easier. This detailed study will eventually summarize the results of the existing literature published related to visualization of data in the cardiology. This research uses the systematic literature protocol and the data was collected from the studies published during the year 2009 to 2018 (10 years). The proposed study selected 53 primary studies from different repositories according to the defined exclusion, inclusion, and quality criteria. The proposed study focused mainly on the research work been done on visualization of big data in the field of cardiology, presented a summary of the techniques used for visualization of data in cardiology, and highlight the benefits of visualizations in cardiology. The current research summarizes and organizes the available literature in the form of published materials related to big data visualization in cardiology. The proposed research will help the researchers to view the available research studies on the subject of medical big data in cardiology and then can ultimately be used as evidence in future research. The results of the proposed research show that there is an increase in articles published yearly wise and several studies exist related to medical big data in cardiology. The derivations from the studies are presented in the paper.","systematic review, review protocol",report of advanced techniques used in analysis of big healthcare data in general,10.1109/ACCESS.2019.2936133,n,n
S34,Visualizing genomes: techniques and challenges,Nielsen et al.,2010,Gene sequence,0,-10,-6,2,2,"Molecule, Organelle",0,1,"Anatomy, Physiology",Survey,0,1,0,1,visual analysis,gene expression/co-expression,,Genome,Medical,"Review of tools for visualizing genome sequence data as main goal, less emphasis on gene expression. Example of tool is UCSC Genome and Cancer Genomics Browsers (image caption:  The UCSC Genome and Cancer Genomics Browsers. (a) The UCSC Genome Browser displays diverse data types across the human reference assembly (for example, gene annotations with exons (boxes), introns (thin lines) and untranslated regions (intermediate-height boxes); ChIP data as heat maps or histograms). (b) The UCSC Cancer Genomics Browser provides an improved overview and links back to the Genome Browser. Agilent 244A comparative genomic hybridization (CGH) data are taken from randomly selected glioblastoma tumor samples made available through the TCGA consortium, together with a small number of unaffected tissues (blue, deletion; red, insertion). Two publicly available clinical parameters are displayed: tumor (olive) versus unaffected (yellow), and male (yellow) versus female (black); gray, data unavailable.)",nielsen.jpg,"Nielsen, Cydney B.; Cantor, Michael; Dubchak, Inna; Gordon, David; Wang, Ting","As our ability to generate sequencing data continues to increase, data analysis is replacing data generation as the rate-limiting step in genomics studies. Here we provide a guide to genomic data visualization tools that facilitate analysis tasks by enabling researchers to explore, interpret and manipulate their data, and in some cases perform on-the-fly computations. We will discuss graphical methods designed for the analysis of de novo sequencing assemblies and read alignments, genome browsing, and comparative genomics, highlighting the strengths and limitations of these approaches and the challenges ahead.","gene visualization, genomics","Identify challenges in multiscale exploration of genomics, which ranges from a few base pairs to tens of millions",10.1038/nmeth.1422,n,done in molecular function
S35,"Tasks, Techniques, and Tools for Genomic Data Visualization","Nusrat, Harbig,Gehlenborg",2019,gene sequence,2,-10,-6,2,2,"Molecule, Organelle",0,1,Physiology ,Survey,0.5,0.5,0,1,"this survey is aimed at the visualization community and bioinformatics researchers who develop visualization tools and focuses on visualization tasks, techniques, and tools.","gene expression, interactions, coexpression",,Gene,Vis,"Based on a comprehensive literature survey, we propose taxonomies for data, visualization, and tasks involved in genomic data visualization. Furthermore, we provide a comprehensive review of published genomic visualization tools in the context of the proposed taxonomies. Main focus is sequence data, but includes consideration of visualizing gene expression data, e.g., segment tracks",nusrat.jpg,"Nusrat, S.; Harbig, T.; Gehlenborg, N.","Genomic data visualization is essential for interpretation and hypothesis generation as well as a valuable aid in communicating discoveries. Visual tools bridge the gap between algorithmic approaches and the cognitive skills of investigators. Addressing this need has become crucial in genomics, as biomedical research is increasingly data‐driven and many studies lack well‐defined hypotheses. A key challenge in data‐driven research is to discover unexpected patterns and to formulate hypotheses in an unbiased manner in vast amounts of genomic and other associated data. Over the past two decades, this has driven the development of numerous data visualization techniques and tools for visualizing genomic data. Based on a comprehensive literature survey, we propose taxonomies for data, visualization, and tasks involved in genomic data visualization. Furthermore, we provide a comprehensive review of published genomic visualization tools in the context of the proposed taxonomies.","genomics, genes, ","the challenges in visualizing these data include abstractions or reductions in data dimensions, variations to show changing events, finding meaningful patterns in the data or having proper interactions. For finding patterns or classification, side-by-side comparisons are common for 2D data, although this increases the cognitive load of the viewer. For 3D data, this is even more challenging as these contain large point-sets that are spatially distributed and may change over time. In certain cases, animation can be useful, although this also provides little insight when there are a large number of changes happening concurrently.

In addition to temporally resolved 3D genome structure data, it is now also possible to measure not only pairwise but also n-way interactions of regions across the whole genome. This will require novel visualization techniques that enable analysts to navigate this highly complex space and select lower-dimensional slices for visualization. A related challenge is the visualization and integration of imaging data (ranging from standard lightfield microscopy to super-resolution microscopy) with genomics data from chromosome conformation capture assays such as Hi-C. The mapping between image-based and genome-based coordinates and corresponding navigation will be particularly challenging in this context.",10.1111/cgf.13727,y-upper grp,done in molecular function
S36,Grand Challenges in Bioinformatics Data Visualization,O'Donoghue,2021,omics data,"2, 3",-10,0,-6,9,"Molecule, Organelle, Cell",1,1,Physiology,Outlook,0,0.75,0.25,1,"focus of this challenges piece is on visualization as a tool for data analysis, THEN also last bit about how to communicate this science to the community/others",many,,many,systems biology,specialty grand challenges article that discusses the critical role of visualization in data insights. At least some aspect of these grand challanges deal with physiology ,odonoghue2021.jpg,"O'Donoghue, Seán I.","Increasingly, the life sciences rely on data science, an emerging discipline in which visualization plays a critical role. Visualization is particularly important with challenging data from cutting-edge experimental techniques, such as 3D genomics, spatial transcriptomics, 3D proteomics, epiproteomics, high-throughput imaging, and metagenomics. Data visualization also plays an increasing role in how research is communicated. Some scientists still think of data visualization as optional; however, as more realize it is an essential tool for revealing insights buried in complex data, bioinformatics visualization is emerging as a subdiscipline. This article outlines current and future grand challenges in bioinformatics data visualization, and announces the first publication venue dedicated to this subdiscipline.","grand challenges in physiology, physiology visualization, multiscale visualization ","challenges that O'Donoghue identifies: 
1) spatiotemporal organization of chromosomes at molecular resolution (genomics)--understanding this will transform our understanding of what gets transcribed, and how and when transcription is controlled in different cell types. 
2) transcriptomics, rapid advances in single-cell RNA-seq (scRNA-seq) techniques now make it possible to track behaviors of individual cells in unprecedented detail, providing a window into events that were previously hidden. For example, scRNA-seq can be used to track cell differentiation and the evolution of cell-cell contacts during the growth of cancerous tumours. Also, in combination with imaging methods, these techniques can be used to resolve the spatial location of RNA transcripts within single cells (use this to understand the mechanisms that control cellular processes)
3) proteomics, advances in high-throughput mass-spectroscopy have begun to provide first glimpses into the highly dynamic epiproteome, i.e., the set of all post-translational modifications (PTMs) made to all proteins in a cell
4) cell biology: determining the spatiotemporal organization of a human cell at molecular resolution, provide structural framework for molecular basis of cell behavior (find location of proteins with imaging and mass-spectrometry techniques, molecular structure with EM, transient complexes from sequence information or MD simulations)
5) tissue-scale imaging, e.g. 2-photon fluroescence microscopy, make 3D maps of mammal brains, track real-time movements of cells and subcellular structures within living tissues, including tumors. Combining these data with tissue-scale or whole-body kinetic modeling (Alqahtani, 2017) has potential to revolutionize our understanding of physiology and the body’s responses to events such as tumor growth or therapeutic interventions. However, extracting insight from such massive, complex datasets requires development of highly tailored, innovative visual analysis methods
6) comparing temporal changes in clinical records across cohorts, especially if including microbiome. 
**7) communicating this! ",10.3389/fbinf.2021.669186,n,"done, in introduction"
S37,Visualization of macromolecular structures,O'Donoghue et al.,2010,"X-ray crystallography, NMR, EM","3, 2",-10,-7,-15,3,Molecule,0,0,"Anatomy focus, short discussion of molecular dynamics physiolgoy",Survey,0.75,0.25,0,1,"focus of tools mainly on visualizing input data, the biomolecular structures (exploration). Short discussion of tools for dynamics that are also fairly plug and play, such as NOMAD-ref",Molecular dynamics,,"Molecules, Genes ",Bioinformatics,Review of tools available to visualize macromolecular structures -- short discussion of molecular dynamics and their importance in understanding molecular behavior. VMD one of main tools mentioned that is able to do molecular dynamics simulations that is in ubiquitous use. ,odonoghue-macromol.png,"O'Donoghue, Seán I.; Goodsell, David S.; Frangakis, Achilleas S.; Jossinet, Fabrice; Laskowski, Roman A.; Nilges, Michael; Saibil, Helen R.; Schafferhans, Andrea; Wade, Rebecca C.; Westhof, Eric; Olson, Arthur J.","Structural biology is rapidly accumulating a wealth of detailed information about protein function, binding sites, RNA, large assemblies and molecular motions. These data are increasingly of interest to a broader community of life scientists, not just structural experts. Visualization is a primary means for accessing and using these data, yet visualization is also a stumbling block that prevents many life scientists from benefiting from three-dimensional structural data. In this review, we focus on key biological questions where visualizing three-dimensional structures can provide insight and describe available methods and tools.",VMD,--,10.1038/nmeth.1427,n,done in molecular function
S38,Visualization of biomedical data,O'Donoghue et al.,2018,"omics, imaging",2,-10,-4,2,7,"Molecule, Cell, Tissue",1,1,Physiology/Anatomy,Survey,0.5,0.25,0.25,1,"Main goal of paper is to highlight cases where visualization is being primarily used for discovery, often with aid of analytical tools. Short discussion of visualization for communication","gene expression, cel development/differentiation, molecular pathways, tissue characterization",,"cell, molecules, genes",bioinformatics,"""surveyed how visualization is being used in a broad range of data-driven biomedical research areas. The authors reported on current visualization techniques and challenges in genomics and epigenetics, RNA biology, protein structures, systems biology, cellular and tissue imaging, and populations and ecosystems. They also pointed out the limitations in popular tools such as the widespread use of rainbow color maps and recommended that tailored visualization methods and tools are necessary for advancements in biomedical insights.""",odonoghue2018.jpg,O'Donoghue S. I.; Baldi B. F.; Clark S. J.; Darling A. E.; Hogan J. M.; Kaur S.; Maier-Hein L.; McCarthy D. J.; Moore W. J.; Stenau E.; Swedlow J. R.; Vuong J.; Procter J. B.,"The rapid increase in volume and complexity of biomedical data requires changes in research, communication, and clinical practices. This includes learning how to effectively integrate automated analysis with high–data density visualizations that clearly express complex phenomena. In this review, we summarize key principles and resources from data visualization research that help address this difficult challenge. We then survey how visualization is being used in a selection of emerging biomedical research areas, including three-dimensional genomics, single-cell RNA sequencing (RNA-seq), the protein structure universe, phosphoproteomics, augmented reality–assisted surgery, and metagenomics. While specific research areas need highly tailored visualizations, there are common challenges that can be addressed with general methods and strategies. Also common, however, are poor visualization practices. We outline ongoing initiatives aimed at improving visualization practices in biomedical research via better tools, peer-to-peer learning, and interdisciplinary collaboration with computer scientists, science communicators, and graphic designers. These changes are revolutionizing how we see and think about our data.","biomedical research, genomics, epigenetics, RNA biology, protein, cell imaging, tissue imaging","To understand and gain insight from the large, complex data sets generated in biomedical research, we need tailored visualization methods and tools that present the right data and analysis to the right researcher or clinician at the right time, providing a clear view of the inherent complexity in our data, not the complication of oversimplification (paraphrased from Reference 5, p. 191). The development and adoption of such methods and tools will require fundamental changes to current research, communication, training, and clinical practices. Without these changes, many biomedical insights will remain undiscovered and misdiagnoses will remain unrecognized, buried in data already collected.",10.1146/annurev-biodatasci-080917-013424,n,done in introduction part where talk about related work
S39,Visualizing biological data—now and in the future,O'Donoghue et al.,2010,--,--,-10,-1,-15,6,"Molecule, Organelle, Cell, Tissue, Organ",1,1,Physiology,Outlook,0.25,0.5,0.25,1,"mixed tasks, but analysis indicated as sligthly higher need ",Molecular processes over all scales,,"Molecules, Genes ",Bioinformatics,"This is over 10 years old now but provides a good foundational text for the needs and challenges in visualization. Use this to compare against more recent surveys to see what has changed, what remains outstanding. This is a commentary piece, authors note that integration is improving for hardware and technology, that visualization has become mainstream. They call for usability in visualizations, incorporation of visual analytics in a balanced way, multiscale visualization (biological data can range from atom to cell, from chromosome to nucleotide), innovative/novel representations (e.g. combining pathway with expression profile data, from Gehlenborg) with a call to consider 3D as opposed to 2D, standardization of representations, to name the main elements. ",odonoghue-2010-biodata.png,"O'Donoghue, Seán I.; Gavin, Anne-Claude; Gehlenborg, Nils; Goodsell, David S.; Hériché, Jean-Karim; Nielsen, Cydney B.; North, Chris; Olson, Arthur J.; Procter, James B.; Shattuck, David W.; Walter, Thomas; Wong, Bang","Methods and tools for visualizing biological data have improved considerably over the last decades, but they are still inadequate for some high-throughput data sets. For most users, a key challenge is to benefit from the deluge of data without being overwhelmed by it. This challenge is still largely unfulfilled and will require the development of truly integrated and highly useable tools","biological data, visualization",---,10.1038/nmeth.f.301,n,done in introduciton
S40,"Rejuvenated Medical Visualization Large-scale, whole-body visualization, visualizing physiology, non-standard imaging and simulations, and cohort studies","Oeltze-Jafra, Steffen et al.",2015,all,"2, 3",-10,0,-9,0,"Tissue, Organ ",1,1,"Physiology, Anatomy",Outlook,0.5,0.5,0,1,VIS tutorial that included a discussion of the value and utility of incorporating physiology into visualization,many,,many,Vis,"tutorial at VIS that discusses opportunities in medvis, physiology discussed as a major opportunity for this, and connecting between scales",oeltzejafra-2015.jpg,"Oeltze-Jafra, Steffen; Ynnerman, Anders; Bruckner, Stefan; Hauser, Helwig","Medicine is one of the primary drivers of visualization research and medical visualization (MedViz) is a vibrant and successful field with a tradition of dozens of years. Traditionally, a lot of MedViz research has been focused on the visualization of a single, unimodal patient dataset, being usually defined on a regular grid in 3D and capturing a selected part of the human anatomy. As a prominent example, volume rendering has been extensively studied, together with advanced lighting simulation, etc. In recent years, however, the most pressing challenges in MedViz have broadened, not at the least paralleling new developments in image acquisition, and being associated with a growing data complexity, and advances in medical diagnosis and patient treatment. It is now becoming increasingly common, that several datasets are acquired, also at different points in time, and that in-vivo information, related to physiology, is complementing the more traditional anatomical information. Different imaging modalities are applied and whole-body scans facilitate the screening for disease and amplify the opportunities of forensic pathology. Data may also be measured or computed in a numerical simulation over complex grids, e.g., in ultrasound imaging or in the simulation of blood flow in cerebral and aortic aneurysms. All this data needs to be integrated with the anatomical scans. While traditional MedViz usually focuses on data of a single patient, the large data pools that are acquired in longitudinal cohort studies, for example, in epidemiology, involving hundreds to thousands of individuals (the cohort) pose tremendous new challenges. These include the combined visualization of image and non-image data as well as the integrated visualization of heterogeneous data. The effective and efficient interactive exploration of large medical data requires innovative technology and dedicated interaction techniques such as table-top user interfaces and gesture-based interaction. In this tutorial, we discuss the above-mentioned modern challenges in MedViz, followed by examples of and strategies for the development of new solutions to cope with these challenges with respect to specific (clinical) problems. We explore a variety of advanced MedViz topics. In particular, we discuss the interactive visualization of whole-body medical volume data, visualization techniques addressing the readability problem of Ultrasound by enriching the data with other types of medical data, the visualization of more abstract physiological data in its anatomical context, and the interactive visual analysis of heterogeneous image-centric cohort study data. Sufficient room for discussion is also planned as part of this tutorial.","medical visualization, medvis, scivis",--,--,n,"done, in introduction"
S41,"Visualizing genome and systems biology: technologies, tools, implementation techniques and trends, past, present and future.",Pavlopoulos et al.,2015,"gene sequence data (microarray, RNAseq types main focus), microscopy","2 ,3",-10,-6,2,5,"Molecule, Organelle",1,0,"Physiology, Anatomy",Survey,0.45,0.45,0.1,1,"Main goals of tools highlighted aimed mainly at exploring input genomic or network data and/or analyzing it, limited focus on communicating data","gene expression, gene interactions",,"genes, proteins, pathways, networks",systems biology ,"This paper provides a review of the history and trends for visualizing genomic and systems biology data. Current trends are visualizing these data in VR, with time elements in the data, and on the web, while the roots of this began in graph theory. They also present the tools that are available to visualize networks, pathways, (including Caleydo). They do the same analysis for genomic data, beginning with history and current trends (current trends are including time series and motion dynamics), with open challenges for advanced visualization for genome assemblies, alignments, polymorphisms, variations, synteny, single nucleotide polymorphisms (SNPs), rearrangements and annotations. They list available tools for gene alignment, browsing, assembly, and expression ",pavlopoulos.jpg,"Pavlopoulos, G.A., Malliarakis, D., Papanikolaou, N., Theodosiou, T., Enright, A.J. and Iliopoulos, I.","“Α picture is worth a thousand words.” This widely used adage sums up in a few words the notion that a successful visual representation of a concept should enable easy and rapid absorption of large amounts of information. Although, in general, the notion of capturing complex ideas using images is very appealing, would 1000 words be enough to describe the unknown in a research field such as the life sciences? Life sciences is one of the biggest generators of enormous datasets, mainly as a result of recent and rapid technological advances; their complexity can make these datasets incomprehensible without effective visualization methods. Here we discuss the past, present and future of genomic and systems biology visualization. We briefly comment on many visualization and analysis tools and the purposes that they serve. We focus on the latest libraries and programming languages that enable more effective, efficient and faster approaches for visualizing biological concepts, and also comment on the future human-computer interaction trends that would enable for enhancing visualization further.","genomics, systems biology, review, visualization tools ","Biological data visualization is a rapidly evolving field. Nevertheless, it is still in its infancy. Hardware acceleration, standardized exchangeable file formats, dimensionality reduction, visual feature selection, multivariate data analyses, interoperability, 3D rendering and visualization of complex data at different resolutions are areas in which great progress has been achieved. Additionally, image processing combined with artificial-intelligence-based pattern recognition, new libraries and programming languages for web visualization, interactivity, visual analytics and visual data retrieval, storing and filtering are still ongoing efforts with remarkable advances over the past years [58, 136, 137]. Today, many of the current visualization tools serve as front ends for very advanced infrastructures dedicated to data manipulation and have driven significant advances in user interfaces. Although the implementation of sophisticated graphical user interfaces is necessary, the effort to minimize back-end calculations is of great importance.",10.1186/s13742-015-0077-2,n,done in molecule function vis stars
