ID,Title,Author,Year,Data Origin,Visual Dim,Space Scale Start,Space Scale Finish,Time Scale Start,Time Scale Finish,Space-Time-Levels,Level,Multi scale,Human,Phys/Anat,Survey ModelMethodtool,Exploration,Analysis,Communication,Purpose test,Purpose comment,Process,Process,Structure,Origin,Concept,Image Name,Bibtex Authors,Abstract,Keywords,Future work,DOI,in vitaLITy?,in paper?
203,Cluster Analysis of Vortical Flow in Simulations of Cerebral Aneurysm Hemodynamics,Oeltze et al.,2016,"MRI, CT",3,-3,-3,0,0,Organ,Organ,0,1,Physiology,Method,0.25,0.75,0,1,visual analysis of vorteces with cutaway,blood flow (hemodynamics),blood flow,Cerebral aneurysm,Vis,A clustering-based approach for the visual analysis of vortical flow in simulated cerebral aneurysm hemodynamics,oeltze2016.jpg,"Oeltze, Steffen; Preim, Bernhard; Hauser, Helwig; Rørvik, Jarle; Lundervold, Arvid","Computational fluid dynamic (CFD) simulations of blood flow provide new insights into the hemodynamics of vascular pathologies such as cerebral aneurysms. Understanding the relations between hemodynamics and aneurysm initiation, progression, and risk of rupture is crucial in diagnosis and treatment. Recent studies link the existence of vortices in the blood flow pattern to aneurysm rupture and report observations of embedded vortices - a larger vortex encloses a smaller one flowing in the opposite direction - whose implications are unclear. We present a clustering-based approach for the visual analysis of vortical flow in simulated cerebral aneurysm hemodynamics. We show how embedded vortices develop at saddle-node bifurcations on vortex core lines and convey the participating flow at full manifestation of the vortex by a fast and smart grouping of streamlines and the visualization of group representatives. The grouping result may be refined based on spectral clustering generating a more detailed visualization of the flow pattern, especially further off the core lines. We aim at supporting CFD engineers researching the biological implications of embedded vortices.","clustering, grouping, streamlines, glyphs, Blood, Computational Fluid Dynamics, Shape, Bifurcation, Hemodynamics, Aneurysm, Visualization",---,10.1109/TVCG.2015.2467203,y-lower group,
208,ChromEMT: Visualizing 3D chromatin structure and compaction in interphase and mitotic cells,Ou et al.,2017,ChromEMT (= electron microscopy tomography (EMT) time lapse + ChromEM labeling method),3,-8,-6,2,5,"Molecule, Organelle",Cell,0,1,"Anatomy, Physiology",Method,1,0,0,1,"visualize compaction of chromosomes in the nucleus during mitosis, direct visualization of time-lapse microscopy","mitosis, chromatin packing",cell dynamics,"chromatin, chromosome",molecular biology,"To visualize chromatin in situ, we identified a fluorescent dye that stains DNA with an osmiophilic polymer and selectively enhances its contrast in EM. ... Chromatin chains have many different particle arrangements and bend at various lengths to achieve structural compaction and high packing densities. **The nuclei of human cells contain 2 meters of genomic DNA. How does it all fit? Compaction starts with the DNA wrapping around histone octamers to form nucleosomes, but it is unclear how these further compress into mitotic chromosomes. Ou et al. describe a DNA-labeling method that allows them to visualize chromatin organization in human cells (see the Perspective by Larson and Misteli). They show that chromatin forms flexible chains with diameters between 5 and 24 nm. In mitotic chromosomes, chains bend back on themselves to pack at high density, whereas during interphase, the chromatin chains are more extended.
**mainly about structure but includes time-lapse video of chromatin packing in nucleus during cell division process",ou.jpg,"Ou, Horng D.; Phan, Sébastien; Deerinck, Thomas J.; Thor, Andrea; Ellisman, Mark H.; O’Shea, Clodagh C.","The chromatin structure of DNA determines genome compaction and activity in the nucleus. On the basis of in vitro structures and electron microscopy (EM) studies, the hierarchical model is that 11-nanometer DNA-nucleosome polymers fold into 30- and subsequently into 120- and 300- to 700-nanometer fibers and mitotic chromosomes. To visualize chromatin in situ, we identified a fluorescent dye that stains DNA with an osmiophilic polymer and selectively enhances its contrast in EM. Using ChromEMT (ChromEM tomography), we reveal the ultrastructure and three-dimensional (3D) organization of individual chromatin polymers, megabase domains, and mitotic chromosomes. We show that chromatin is a disordered 5- to 24-nanometer-diameter curvilinear chain that is packed together at different 3D concentration distributions in interphase and mitosis. Chromatin chains have many different particle arrangements and bend at various lengths to achieve structural compaction and high packing densities.","interphase, mitosis, chromatin packing, microscopy, super resolution microscopy",--,10.1126/science.aag0025,n,y
209,Scale-Space Splatting: Reforming Spacetime for Cross-Scale Exploration of Integral Measures in Molecular Dynamics,Pálenik et al.,2020,simulation,3,-10,-7,-9,0,Molecule,Molecule,1,0,Physiology,Method,0.75,0.25,0,1,"visual exploration for hypothesis generation on when protein-ligand interactions may occur, explore dataset",molecular interactions ,molecular interactions,molecule,Visualization,"scale space splatting is a visual exploratory analysis tool to identify multiresolution (spatially and temporally, but not a entire data perspective -- using aggregation that can be granularized) ligand-binding events (using interaction energy)",palenik.jpg,"Pálenik, Juraj; Byška, Jan; Bruckner, Stefan; Hauser, Helwig","Understanding large amounts of spatiotemporal data from particle-based simulations, such as molecular dynamics, often relies on the computation and analysis of aggregate measures. These, however, by virtue of aggregation, hide structural information about the space/time localization of the studied phenomena. This leads to degenerate cases where the measures fail to capture distinct behaviour. In order to drill into these aggregate values, we propose a multi-scale visual exploration technique. Our novel representation, based on partial domain aggregation, enables the construction of a continuous scale-space for discrete datasets and the simultaneous exploration of scales in both space and time. We link these two scale-spaces in a scale-space space-time cube and model linked views as orthogonal slices through this cube, thus enabling the rapid identification of spatio-temporal patterns at multiple scales. To demonstrate the effectiveness of our approach, we showcase an advanced exploration of a protein-ligand simulation.
","scale-space changes, aggregation, ",support for Van der Waals energy,10.1109/TVCG.2019.2934258,y-upper grp,y
210,A 3-D model used to explore how cell adhesion and stiffness affect cell sorting and movement in multicellular systems,Palsson,2008,Simulation,3,-5,-3,0,2,"Cell, Tissue",Cell,0,1,Physiology,Model,1,0,0,1,modeling used to illustrate cell adhesion and signaling patterns,Cell aggregation/adhesion,cell interactions,Cell/Tissue,Biology,Model to determine the effects of adhesion and cell signaling on cell movements during aggregation,palsson.jpg,"Palsson, Eirikur","A three-dimensional mathematical model is used to determine the effects of adhesion and cell signalling on cell movements during the aggregation and slug stages of Dictyostelium discoideum (Dd) and to visualize cell sorting. The building blocks of the model are individual deformable ellipsoidal cells, where movement depends on internal parameter state (cell size and stiffness) and on external cues from the neighboring cells, extracellular matrix, and chemical signals. Cell movement and deformation are calculated from equations of motion using the total force acting on each cell, ensuring that forces are balanced. The simulations show that the sorting patterns of prestalk and prespore cells, emerging during the slug stage, depend critically on the type of cell adhesion and not just on chemotactic differences between cells. This occurs because cell size and stiffness can prevent the otherwise faster cells from passing the slower cells. The patterns are distinctively different when the prestalk cells are more or less adhesive than the prespore cells. These simulations suggest that sorting is not solely due to differential chemotaxis, and that differences in both adhesion strength and type between different cell types play a very significant role, both in Dictyostelium and other systems.","slice rendering, density rendering, 3D view, animation",---,10.1016/j.jtbi.2008.05.004,n,
211,Strain analysis and visualization: left ventricle of a heart,"Park, Park",2000,"simulation, MRI",3,-3,-2,-2,0,Organ,Organ,0,1,Physiology ,Method,0.25,0.75,0,1,"explore output of parametric model, specific analytical goal is to quantitatively evaluate areas of strain on the left ventricular wall of the heart (comprehensive strain analysis)",heart beat (specifically motion of left ventricular wall),heart function,Heart,Vis,"\cite{park:2000} (park is visual analysis) Park et al. \cite{park:2000} created a method to model the patient left ventricle from the data, and to visualize different measures on the wall of the heart. Their tool is capable to explore the tensor field on the wall of the heart along main axis, circular axis, and to explore inner wall of the heart as well.
**""The 3D deformation fields of the LV models were initially estimated from tagged MRI data sets [19], which provide in-plane temporal correspondence of material points. While there is some initial experience in the use of tagged MRI and related techniques to study the 3D motion of the heart there is still no generally accepted method for analysis and display of the 3D heart motion. The parameter-function model captures the 3D deformation field in its model parameters, and the volumetric model can be regenerated based on the estimated parameter, allowing us to select any desired volume element within the myocardium for a conventional strain analysis. In this paper, we have verified that the results of a conventional strain analysis performed on the parameter-function model are in agreement with those from a conventional finite element model [15]. Furthermore, we have proposed a new methodology for visualizing multi-dimensional local quantities for a better rendition of overall strain variation. It will help to gain a thorough and localized understanding of the LV motion, and should significantly increase the clinical utility of such heart motion analyses.""",park.jpg,"Park, Jinah; Park, Sang Il","Clinical utility of computational models is crucial in the applications of medical data visualization. Previously we have developed a new class of volumetric models whose parameters are functions in conjunction with physically based deformable modeling framework, and have applied the technique to estimate the left ventricular (LV) wall motion. We have successfully showed that the model parameter functions characterize the LV motion of normal and abnormal states and that no further non-trivial post-processing is required for anatomically meaningful interpretation. In an e!ort to evaluate the LV model, this paper presents a method and results from a strain analysis based on the nodal displacements of the deformable LV model. Furthermore, in order to visualize the local quantities on the volumetric model for an e!ective analysis, we also developed a methodology to assist in assessing the cardiac function utilizing principal strains, Von-Mises' yield criteria, and a smoothing ""lter. Each strain tensor component was in the range of values observed in other reported studies. The application of a smoothing ""lter on the model improved in visualizing the overall trend of each strain variation. With our platform for a comprehensive strain analysis, we have augmented a clinical utility to the deformable models with parameter functions.","mesh, color coded",---,10.1016/S0097-8493(00)00073-X,n,
212,Interactive Real Time Simulation of Cardiac Radio-Frequency Ablation,Pernod et al.,2010,Simulation,3,-3,-2,-1,0,"Tissue, Organ",Organ,0,1,Physiology,Model,0.75,0,0.25,1,direct visualization of simulation,"heart beat, arrhythmia",heart function,Heart,Vis,"A medical procedure, where the dysfunctional tissue is ablated using the heat generated from medium frequency alternating current, is called radio-frequency ablation. This procedure is done on human hearts in case of cardiac arrhythmia. Pernod et al. \cite{pernod:2010} proposed a real-time electrophysiology model, which is both discrete for the state of cardiac tissue and continuous for the propagation of the electrical wave. They have applied the anisotropic Fast Marching Method to simulate the cardiac electrophysiology in real-time for tetrahedral meshes of coarse resolution (tissue level). The model has been coupled with pre-recorded realistic heart mechanical deformations, and helps to explore the propagation of the extracellular potential, pace locally the myocardium or simulate the burning of cardiac tissue as done in radiofrequency ablation interventions.",pernod.jpg,"Pernod, Erik; Sermesant, Maxime; Relan, Jatin; Delingette, Herve","Virtual reality based therapy simulation meets a growing interest from the medical community due to its potential impact for the training of medical residents and the planning of therapies. In this paper, we describe a prototype for rehearsing radio-frequency ablation of the myocardium in the context of cardiac arrhythmia. Our main focus has been on the real-time modeling of electrophysiology which is suitable for representing simple cases of arrhythmia (ectopic focus, ventricular tachycardia). To this end, we use an anisotropic multi-front fast marching method to simulate transmembrane potential propagation in cardiac tissues. The electric propagation is coupled with a pre-recorded beating heart model. Thanks to a 3D user interface, the user can interactively measure the local extracellular potential, pace locally the myocardium or simulate the burning of cardiac tissue as done in radiofrequency ablation interventions. To illustrate this work, we show the simulation of various arrhythmias cases built from patient specific medical images including the right and left ventricles, the fiber orientation and the location of ischemic regions.","mesh, surface mapping, color coded, virtual reality, VR",Extended to better represent the pathological behaviour and to include patient specific restitution curves,10.2312/VCBM/VCBM10/091-098,y-lower grp,
213,Blood Flow in Its Context: Combining 3D B-Mode and Color Doppler Ultrasonic Data,"Petersch, Honigmann",2007,D-US,3,-3,-1,-3,0,Organ,Organ,0,1,Physiology,Method,1,0,0,1,"direct visualization of flow with combined modalities, explore simulation results",blood flow (hemodynamics),blood flow,Heart,Vis,"new combinations of photorealistic and NPR techniques in a one-level composite color rendering process for combined B-mode and power/color Doppler data, which offers different blending possibilities.",petersch.jpg,"Petersch, Bernhard; Hönigmann, Dieter","Visualization of volumetric multicomponent data sets is a high-dimensional problem, especially for color data. Medical 3D ultrasound (US) technology has rapidly advanced during the last few decades and scanners can now generate joint 3D scans of tissues (B-mode) and blood flow (power or color Doppler) in real time. Renderings of such data sets have to comprehensively convey both the relevant structures of the tissues that form the context for blood flow, as well as the distribution of blood flow itself. The narrow field of view in US data, which is often used to make real-time imaging possible, complicates volume exploration since only parts of organs are usually visible, that is, clearly defined anatomical landmarks are scarce. In addition, the noisy nature and low signal-tocontrast ratio of US data make effective visualization a challenge, whereby there are currently no convincing solutions for combined US B-mode and color Doppler data rendering. Therefore, displaying 2D slices out of the 3D data is still often the preferred visualization method. We present new combinations of photorealistic and nonphotorealistic rendering strategies for combined visualization of B-mode and color Doppler data, which are straightforward to implement, flexible, and suited for a wide range of US applications.","slice rendering, color coded, representation combination, Three-dimensional ultrasound, color Doppler, composite rendering, NPR, DVR, picture/image generation, threedimensional graphics and realism","GPU-based implementation, and we are aiming at a thorough clinical evaluation",10.1109/TVCG.2007.1018,y-lower grp,
214,Simulating realistic membrane shapes,"Pezeshkian, Marrink",2021,smulation,3,-10,-6,-3,5,"Organelle, Cell",Cell,1,1,"Anatomy, Physiology",Method,1,0,0,1,browse/explore simulation output ,organelle membrane dynamics,cell dynamics,organelle,cell biology,"hierarchical modeling framework: At a length scale around 10 nm, the detailed membrane interaction of single proteins can be investigated using aaMD on the microsecond timescale. Protein–protein interactions can be probed using cgMD, at spatio-temporal scales of 100 nm and milliseconds. The results from aaMD and cgMD can be used to calibrate mesoscale models, which allow simulating the membrane remodeling induced by many proteins at micrometer length and macroscopic timescale (seconds). Backmapping to coarse-grain resolution can provide a near-atomistic view of these remodeled membrane shapes, with the possibility to further backmap local subregions to atomistic detail.",pezeshkian.jpg,"Pezeshkian, Weria; Marrink, Siewert J.","Biological membranes exhibit diversity in their shapes and complexity in chemical compositions that are linked to many cellular functions. These two central features of biomembranes have been the subject of numerous simulation studies, using a diverse range of computational techniques. Currently, the field is able to capture this complexity at increasing levels of realism and connect the microscopic view on protein–lipid interactions to cellular morphologies at the level of entire organelles. Here we highlight recent advances in this topic, identify current bottlenecks, and sketch possible ways ahead.",Membrane curvature; Multiscale simulations; Organelle shape; Mesoscale models; Molecular dynamics; Cell membranes,"Major remaining challenges, at all levels of resolution, are as follows: (i) to further increase complexity in terms of membrane composition, making use of advanced experimental data — in particular with respect to local compositions in living cells; (ii) to add the cellular context, for instance, the cytoskeleton framework and realistic models for the cytoplasm; (iii) and to include out of equilibrium aspects, for instance, using open boundary methods and incorporating reactive schemes into classical and mesoscale methods. These challenges are compounded by the need to capture these processes over a multitude of spatio-temporal scales, requiring further progress in bridging the various computational methods into a consistent modeling framework. Advances in incorporating machine learning and artificial intelligence may prove to be a key asset in this respect",10.1016/j.ceb.2021.02.009,n,y
215,Cell lineage visualisation,"Pretorius, Khan, Errington",2015,Microscope,2,-5,-4,5,6,"Cell, Tissue",Cell,0,1,Physiology,Tool,0,1,0,1,visual analysis,Cell population development,cell interactions,Cancer tissue,Vis,Enabling comprehensive analysis of the cell population development,pretorius.jpg,"Pretorius, A. J.; Khan, I. A.; Errington, R. J.","Cell lineages describe the developmental history of cell populations and are produced by combining time-lapse imaging and image processing. Biomedical researchers study cell lineages to understand fundamental processes such as cell differentiation and the pharmacodynamic action of anticancer agents. Yet, the interpretation of cell lineages is hindered by their complexity and insufficient capacity for visual analysis. We present a novel approach for interactive visualisation of cell lineages. Based on an understanding of cellular biology and live-cell imaging methodology, we identify three requirements: multimodality (cell lineages combine spatial, temporal, and other properties), symmetry (related to lineage branching structure), and synchrony (related to temporal alignment of cellular events). We address these by combining visual summaries of the spatiotemporal behaviour of an arbitrary number of lineages, including variation from average behaviour, with node-link representations that emphasise the presence or absence of symmetry and synchrony. We illustrate the merit of our approach by presenting a real-world case study where the cytotoxic action of the anticancer drug topotecan was determined.","bar plot, tree view, brushing",Linking visual analysis to the underlying image data,10.1111/cgf.12614,y-lower group,
216,A multi-scale map of cell structure fusing protein images and interactions,Qin et al.,2021,"microscopy, mass spectrometry/affinity purification",2,-9,-5,-6,5,"Molecule, Organelle, Cell",Cell,1,1,Anatomy (from physiology),Tool,0.5,0.5,0,1,machine learning approach in which protein imaging and biophysical association are integrated to create a unified map of subcellular components. Explore resulting map of these components to understand structure and related functions,"molecular interactions, molecular pathway, cell dynamics",cell dynamics,"molecule, organelle, cell",bioinformatics,"multiscale integrated cell (MuSIC)  integrates immunofluorescence images in the Human Protein Atlas with affinity purifications in BioPlex5 to create a unified hierarchical map of human cell architecture. The positioning of proteins near each other in the map indicates that they have related function/share in the same process. node-link diagram, nodes encode to relative size of structures",qin-music.jpg,"Qin, Yue; Huttlin, Edward L.; Winsnes, Casper F.; Gosztyla, Maya L.; Wacheul, Ludivine; Kelly, Marcus R.; Blue, Steven M.; Zheng, Fan; Chen, Michael; Schaffer, Leah V.; Licon, Katherine; Bäckström, Anna; Vaites, Laura Pontano; Lee, John J.; Ouyang, Wei; Liu, Sophie N.; Zhang, Tian; Silva, Erica; Park, Jisoo; Pitea, Adriana; Kreisberg, Jason F.; Gygi, Steven P.; Ma, Jianzhu; Harper, J. Wade; Yeo, Gene W.; Lafontaine, Denis L. J.; Lundberg, Emma; Ideker, Trey","The cell is a multi-scale structure with modular organization across at least four orders of magnitude1. Two central approaches for mapping this structure—protein fluorescent imaging and protein biophysical association—each generate extensive datasets, but of distinct qualities and resolutions that are typically treated separately2,3. Here we integrate immunofluorescence images in the Human Protein Atlas with affinity purifications in BioPlex to create a unified hierarchical map of human cell architecture. Integration is achieved by configuring each approach as a general measure of protein distance, then calibrating the two measures using machine learning. The map, known as the multi-scale integrated cell (MuSIC 1.0), resolves 69 subcellular systems, of which approximately half are to our knowledge undocumented. Accordingly, we perform 134 additional affinity purifications and validate subunit associations for the majority of systems. The map reveals a pre-ribosomal RNA processing assembly and accessory factors, which we show govern rRNA maturation, and functional roles for SRRM1 and FAM120C in chromatin and RPS3A in splicing. By integration across scales, MuSIC increases the resolution of imaging while giving protein interactions a spatial dimension, paving the way to incorporate diverse types of data in proteome-wide cell maps.","spatial organization, molecular organization, protein interactions, node-link diagram","""We expect future validation of MuSIC systems to draw from a range of functional assays at the molecular, pathway and cellular level.""",10.1038/s41586-021-04115-9,n,y
217,Multiscale models of angiogenesis,Qutub et al.,2009,simulation,3,-7,-4,-6,3,"Molecule, Cell, Tissue, Organ",Tissue,1,1,Physiology,Model,1,0,0,0,Explore results of multiscale simulation data ,morphogenesis (angiogenesis modeled on multiple scales),tissue dynamics,"molecules, cells, microvasculature (tissue)",medical biology ,"Angiogenesis is driven by molecular and cellular processes that all can be simulated to drive formation/growth of vasculature. [In response to hypoxia, the transcription factor hypoxia-inducible factor 1 (HIF1) activates hundreds of genes, including vascular endothelial growth factor (VEGF). VEGF proteins stimulate chemotaxis and proliferation in endothelial cells (ECs) during capillary sprouting.]",qutub.png,"Qutub, Amina A.; Gabhann, Feilim Mac; Karagiannis, Emmanouil D.; Vempati, Prakash; Popel, Aleksander S.","This article aims to promote integration of angiogenesis-related models, both integration of the work described herein and many other existing and future models. Integration of molecular mechanisms with cell- and organ- level models allows investigators to study angiogenesis from perspectives in time and space that were once unattainable. As new tools develop for the systematic validation, integration, visualization, and adaptation of these models, the field of angiogenesis heralds an era where modeling becomes an essential component of rigorous experimental design and therapeutic advances.","angiogenesis, multiscale, simulation, computational model",--,10.1109/MEMB.2009.931791,n,y
218,Improving extracellular vesicles visualization: From static to motion,"Reclusa, Pablo; Verstraelen, Peter; Taverna, Simona; Gunasekaran, Muthukumar; Pucci, Marzia; Pintelon, Isabel; Claes, Nathalie; de Miguel-Pérez, Diego; Alessandro, Riccardo; Bals, Sara; Kaushal, Sunjay; Rolfo, Christian",2020,microscopy,3,-7,-6,-3,5,"Organelle, Cell",Cell,0,0,Physiology,Method,1,0,0,1,"explore output of imaging data in raw form, use MIP (max intensity projections)",extracellular vesicle internalization,cell dynamics,vesicle,cell biology ,"EVs are emerging as armed vehicles for intercellular communication5. EVs composition is heterogeneous and in a dynamic state, mirroring the parental cells and its pathological and physiological state. This study used a novel imaging method in microscopy to track the movements/internalization of cellular vesicles, which has implications in cellular communication. Visualization part is really just looking at the direct output of the imaging data, looking for the vesicles; used also EM to measure sizes of the cells, basic bar chart visualization to determine the average diameter of the vesicles",reclusa.jpg,"Reclusa, Pablo; Verstraelen, Peter; Taverna, Simona; Gunasekaran, Muthukumar; Pucci, Marzia; Pintelon, Isabel; Claes, Nathalie; de Miguel-Pérez, Diego; Alessandro, Riccardo; Bals, Sara; Kaushal, Sunjay; Rolfo, Christian","In the last decade, extracellular vesicles (EVs) have become a hot topic. The findings on EVs content and effects have made them a major field of interest in cancer research. EVs, are able to be internalized through integrins expressed in parental cells, in a tissue specific manner, as a key step of cancer progression and pre-metastatic niche formation. However, this specificity might lead to new opportunities in cancer treatment by using EVs as devices for drug delivery. For future applications of EVs in cancer, improved protocols and methods for EVs isolation and visualization are required. Our group has put efforts on developing a protocol able to track the EVs for in vivo internalization analysis. We showed, for the first time, the videos of labeled EVs uptake by living lung cancer cells.","live cell imaging, imaging protocol, imaging method, EV update",--,10.1038/s41598-020-62920-0,n,n
219,Real-time cortical simulation on neuromorphic hardware,Rhodes et al.,2020,simulation,2,-5,-4,-3,0,Tissue,Tissue,0,1,Physiology,Model,0.5,0,0.5,1,Figure designed to show the microcircuitry of excitatory and inhibitory neurons. This is an interesting way to communicate the layering of the different neuron types in cortical tissue,signal propagation,tissue interactions,brain -- sensory cortex,biomedical engineering,cortical simulation in real time of a spiking neural network in small cortical microcircuit tissue section (1mm3) using digital neuromorphic platform SpiNNaker. ,rhodes.jpeg,"Rhodes, Oliver; Peres, Luca; Rowley, Andrew G. D.; Gait, Andrew; Plana, Luis A.; Brenninkmeijer, Christian; Furber, Steve B.","Real-time simulation of a large-scale biologically representative spiking neural network is presented, through the use of a heterogeneous parallelization scheme and SpiNNaker neuromorphic hardware. A published cortical microcircuit model is used as a benchmark test case, representing ≈1 mm2 of early sensory cortex, containing 77 k neurons and 0.3 billion synapses. This is the first hard real-time simulation of this model, with 10 s of biological simulation time executed in 10 s wall-clock time. This surpasses best-published efforts on HPC neural simulators (3 × slowdown) and GPUs running optimized spiking neural network (SNN) libraries (2 × slowdown). Furthermore, the presented approach indicates that real-time processing can be maintained with increasing SNN size, breaking the communication barrier incurred by traditional computing machinery. Model results are compared to an established HPC simulator baseline to verify simulation correctness, comparing well across a range of statistical measures. Energy to solution and energy per synaptic event are also reported, demonstrating that the relatively low-tech SpiNNaker processors achieve a 10 × reduction in energy relative to modern HPC systems, and comparable energy consumption to modern GPUs. Finally, system robustness is demonstrated through multiple 12 h simulations of the cortical microcircuit, each simulating 12 h of biological time, and demonstrating the potential of neuromorphic hardware as a neuroscience research tool for studying complex spiking neural networks over extended time periods.","cortical simulation, hardware", extend simulation times and computational neuroscience research to explore long-term effects in the brain,10.1098/rsta.2019.0160,n,y
220,Computational fluid dynamics simulations of blood flow regularized by 3D phase contrast MRI,Rispoli et al.,2015,"Simulation, MRI",3,-3,-1,-2,0,Organ,Organ,0,1,Physiology ,Method,1,0,0,1,"Main focus of paper is the CFD simulation, visualization in paper simply is to visualize results of the simulation",blood flow (hemodynamics),blood flow,vessel,bioengineering,"purpose of this study is to develop a proof-of-concept numerical procedure for constructing a simulated flow field that is influenced by both direct PC-MRI measurements and a fluid physics model, thereby taking advantage of both the accuracy of PC-MRI and the high spatial resolution of CFD. ",rispoli.jpg,"Rispoli, Vinicius C.; Nielsen, Jon F.; Nayak, Krishna S.; Carvalho, Joao L. A.","Background: Phase contrast magnetic resonance imaging (PC-MRI) is used clinically for quantitative assessment of cardiovascular flow and function, as it is capable of providing directly-measured 3D velocity maps. Alternatively, vascular flow can be estimated from model-based computation fluid dynamics (CFD) calculations. CFD provides arbitrarily high resolution, but its accuracy hinges on model assumptions, while velocity fields measured with PC-MRI generally do not satisfy the equations of fluid dynamics, provide limited resolution, and suffer from partial volume effects. The purpose of this study is to develop a proof-of-concept numerical procedure for constructing a simulated flow field that is influenced by both direct PC-MRI measurements and a fluid physics model, thereby taking advantage of both the accuracy of PC-MRI and the high spatial resolution of CFD. The use of the proposed approach in regularizing 3D flow fields is evaluated.
Methods: The proposed algorithm incorporates both a Newtonian fluid physics model and a linear PC-MRI signal model. The model equations are solved numerically using a modified CFD algorithm. The numerical solution corresponds to the optimal solution of a generalized Tikhonov regularization, which provides a flow field that satisfies the flow physics equations, while being close enough to the measured PC-MRI velocity profile. The feasibility of the proposed approach is demonstrated on data from the carotid bifurcation of one healthy volunteer, and also from a pulsatile carotid flow phantom.
Results: The proposed solver produces flow fields that are in better agreement with direct PC-MRI measurements than CFD alone, and converges faster, while closely satisfying the fluid dynamics equations. For the implementation that provided the best results, the signal-to-error ratio (with respect to the PC-MRI measurements) in the phantom experiment was 6.56 dB higher than that of conventional CFD; in the in vivo experiment, it was 2.15 dB higher.
Conclusions: The proposed approach allows partial or complete measurements to be incorporated into a modified CFD solver, for improving the accuracy of the resulting flow fields estimates. This can be used for reducing scan time, increasing the spatial resolution, and/or denoising the PC-MRI measurements.","blood flow, CFD, simulation, color coded, vector field visualization",--,10.1186/s12938-015-0104-7,n,y
221,A Novel Grid-based Visualization Approach for Metabolic Networks with Advanced Focus & Context View,Rohrschneider et al.,2010,Pathway,2,-9,-6,-6,5,Molecule,,0,1,Physiology,Method,0,0.75,0.25,1,visual analysis with illustrative method,pathway,molecular pathways,---,Vis,Combining and applying information visualization technique to present the complete set of biochemical reactions of metabolic pathways in eucaryotic cell,rohrschneider.jpg,"Rohrschneider, Markus; Heine, Christian; Reichenbach, André; Kerren, Andreas; Scheuermann, Gerik","The universe of biochemical reactions in metabolic pathways can be modeled as a complex network structure augmented with domain specific annotations. Based on the functional properties of the involved reactions, metabolic networks are often clustered into so-called pathways inferred from expert knowledge. To support the domain expert in the exploration and analysis process, we follow the well-known Table Lens metaphor with the possibility to select multiple foci. In this paper, we introduce a novel approach to generate an interactive layout of such a metabolic network taking its hierarchical structure into account and present methods for navigation and exploration that preserve the mental map. The layout places the network nodes on a fixed rectilinear grid and routes the edges orthogonally between the node positions. Our approach supports bundled edge routes heuristically minimizing a given cost function based on the number of bends, the number of edge crossings and the density of edges within a bundle.","network, layout, selection, focus and context",---,10.1007/978-3-642-11805-0_26,n,
222,Muscle and Fascia Simulation with Extended Position Based Dynamics,Romeo et al. ,2020,"simulation, motion data, imaging data",3,-3,-1,-3,0,"Organ, *System",Organ,0,1,Physiology ,Method,0.25,0,0.75,1,"main idea is to use for visual effects, so for communication/presentation tasks. basis still is visualization of input simulation data, but with aesthetic feel. This goes up to include the whole musculoskeletal system but the solver is working on at the level of individual muscle fibers",Movement,muscle function,Muscle,Vis,"In this paper, we present an XPBD-based system capable of efficiently simulating realistic digital characters' muscles and fascia. PDB rendering, created as Maya plugin (adoption!)",romeo.jpg,"Romeo, M., Monteagudo, C. and Sánchez‐Quirós, D.,","Recent research on muscle and fascia simulation for visual effects relies on numerical methods such as the finite element method or finite volume method. These approaches produce realistic results, but require high computational time and are complex to set up. On the other hand, position-based dynamics offers a fast and controllable solution to simulate surfaces and volumes, but there is no literature on how to implement constraints that could be used to realistically simulate muscles and fascia for digital creatures with this method. In this paper, we extend the current state-of-the-art in Position-Based Dynamics to efficiently compute realistic skeletal muscle and superficial fascia simulation. In particular, we embed muscle fibres in the solver by adding an anisotropic component to the distance constraints between mesh points and apply overpressure to realistically model muscle volume changes under contraction. In addition, we also define a modified distance constraint for the fascia that allows compression and enables the user to scale the constraint's original distance to gain elastic potential at rest. Finally, we propose a modification of the extended position-based dynamics algorithm to properly compute different sets of constraints and describe other details for proper simulation of character's muscle and fascia dynamics.","simulation, biomechanics, movement",parallelization of the simulation system to further improve performance,10.1111/cgf.13734,y-lower grp,y
