ID,Title,Author,Year,Data Origin,Visual Dim,Space Scale Start,Space Scale Finish,Time Scale Start,Time Scale Finish,Level,Multi scale,Human,Phys/Anat,Survey model method tool,Old Purpose,Exploration,Analysis,Communication,Purpose test,Purpose comment,Process,Structure,Origin,Concept,Ref. Image,Image Name,Bibtex Authors,Abstract,Keywords,Future work
110,Visualizing genomes: techniques and challenges.,Nielsen et al.,2010,Gene sequence,0,-10,-6,2,2,"Molecule, Organelle",0,1,"Anatomy, Physiology",Survey,"Process analysis, Structure analysis",0,1,0,1,visual analysis,gene expression/co-expression,Genome,Medical,"Review of tools for visualizing genome sequence data as main goal, less emphasis on gene expression. Example of tool is UCSC Genome and Cancer Genomics Browsers (image caption:  The UCSC Genome and Cancer Genomics Browsers. (a) The UCSC Genome Browser displays diverse data types across the human reference assembly (for example, gene annotations with exons (boxes), introns (thin lines) and untranslated regions (intermediate-height boxes); ChIP data as heat maps or histograms). (b) The UCSC Cancer Genomics Browser provides an improved overview and links back to the Genome Browser. Agilent 244A comparative genomic hybridization (CGH) data are taken from randomly selected glioblastoma tumor samples made available through the TCGA consortium, together with a small number of unaffected tissues (blue, deletion; red, insertion). Two publicly available clinical parameters are displayed: tumor (olive) versus unaffected (yellow), and male (yellow) versus female (black); gray, data unavailable.)",---,nielsen.jpg,"Nielsen, Cydney B.; Cantor, Michael; Dubchak, Inna; Gordon, David; Wang, Ting","As our ability to generate sequencing data continues to increase, data analysis is replacing data generation as the rate-limiting step in genomics studies. Here we provide a guide to genomic data visualization tools that facilitate analysis tasks by enabling researchers to explore, interpret and manipulate their data, and in some cases perform on-the-fly computations. We will discuss graphical methods designed for the analysis of de novo sequencing assemblies and read alignments, genome browsing, and comparative genomics, highlighting the strengths and limitations of these approaches and the challenges ahead.","gene visualization, genomics","Identify challenges in multiscale exploration of genomics, which ranges from a few base pairs to tens of millions"
111,Simplified simulation and visualization of tubular flows with approximate centerline generation,"Nobrega, Cravalho, Wangenheim",2009,"CT,MRI imaging; Smoothed Particle Hydrodynamics (SPH) simulation",3,-3,-2,-3,0,"Tissue, Organ",0,1,Physiology,Model,"Process analysis, Comunication",1,0,0,1,visualization of simulation output,blood flow,Vessel,Vis,"Nobrega et al. created a method for simplified flow simulation, which relies on the structure’s centerline, to efficiently simulate fluid flows through tubular structures such as pipes and blood vessels. The technique is useful in performing simplified simulations, particularly when efficiency and visual feedback are important. **from Fig in paper: Surface-based motion field estimation. Patient-specific lung mesh (a) tracked through all phases, exemplarily shown for end-exhale (b) and end-inhale (c). Note that inside structures are covered in the mesh.",#NAME?,nobrega.jpg,"Nobrega, Tiago H. C.; Carvalho, Diego Dias Bispo; Wangenheim, Aldo Von","We present a method to efficiently simulate fluid flows through tubular structures such as pipes and blood vessels. The method relies on the structure's centerline and for that purpose we present an algorithm to generate an approximate centerline of a tubular structure defined by an ordinary polygonal mesh. As an additional benefit, this centerline provides approximations of measures about the tubular structure such as length of regions of interest and crosssection diameters. The fluid is simulated with the Smoothed Particle Hydrodynamics method and the fluid-structure interaction is simplified to provide interactive rates. The particles can be colored according to physical quantities to better visualize the evolution of the fluid's state in narrow and otherwise obstructed areas.","flow visualization, particles",---
113,Visual analysis of cerebral perfusion data four interactive approaches and a comparison,Oeltze et al.,2009,MRI,3,-3,-2,-2,0,"Tissue, Organ",0,1,Physiology,Method,Process analysis,0.25,0.75,0,1,"interactive analysis approaches require the user to eventually decide which part of the tissue is ranked among infarcted and healthy tissue, respectively. Top 2 panels are direct visualization to explore the data in raw form ",blood flow (perfusion),Heart ,Vis,"Visualization techniques for the analysis of perfusion data. In particular, the analysis of different parameters characterizing time-intensity curves for a particular voxel is supported.",,oeltze2009.jpg,"Oeltze-Jafra, S.; Cebral, J. R.; Janiga, G.; Preim, B.","We present static and dynamic techniques to visualize perfusion data and to relate perfusion data to morphologic image data. In particular, we describe the integrated analysis of MRI myocardial perfusion data with CT coronary angiographies depicting the morphology. We refined the Bull’s-Eye Plot, a wide-spread and accepted analysis tool in cardiac diagnosis, to show aggregated information of perfusion data at rest and under stress. The correlation between regions of the myocard with reduced perfusion and 3d renditions of the coronary vessels can be explored within a synchronized visualization of both. With our research, we attempt to improve the diagnosis of early stage coronary artery disease.We present static and dynamic techniques to visualize perfusion data and to relate perfusion data to morphologic image data. In particular, we describe the integrated analysis of MRI myocardial perfusion data with CT coronary angiographies depicting the morphology. We refined the Bull’s-Eye Plot, a wide-spread and accepted analysis tool in cardiac diagnosis, to show aggregated information of perfusion data at rest and under stress. The correlation between regions of the myocard with reduced perfusion and 3d renditions of the coronary vessels can be explored within a synchronized visualization of both. With our research, we attempt to improve the diagnosis of early stage coronary artery disease.","slice rendering, line plot, brushing",--
114,Interactive Visual Analysis of Perfusion Data,Oeltze et al.,2007,"fMRI, SPECT",3,-3,-1,-2,0,"Tissue, Organ",0,1,Physiology,Method,Process analysis,0.25,0.75,0,1,"interactive visual analysis approach for the evaluation of perfusion data. integrate statistical methods and interactive feature specification. Correlation analysis and Principal Component Analysis (PCA) are applied for dimensionreduction and to achieve a better understanding of the inter-parameter relations. Multiple, linked views facilitate the definition of features by brushing multiple dimensions. The specification result is linked to all views establishing a focus+context style of visualization in 3D. ",blood flow (perfusion to tissue),"Brain, Heart, Breast",Vis,"We presented the integration of pre-processing techniques, statistical methods, and interactive feature specification for the analysis of the multi-dimensional space of perfusion parameters. The visual analysis strategy presented here allows to assess the reliability of specific perfusion parameters, the correlation of perfusion parameters in a particular case, and thus enables an efficient evaluation focused on a significant subset of perfusion parameters. The statistical analysis facilitates the detection of trends in the data. Trends, representing typical enhancement patterns, may be applied for the detection of suspicious structures while trends, representing atypical enhancement patterns, may indicate pre-processing failures. ",#NAME?,oeltze2007.jpg,"Oeltze, Steffen; Doleisch, Helmut; Hauser, Helwig; Muigg, Philipp; Preim, Bernhard","Perfusion data are dynamic medical image data which characterize the regional blood flow in human tissue. These data have a great potential in medical diagnosis, since diseases can be better discriminated and detected at an earlier stage compared to static image data. The wide-spread use of perfusion data is hampered by the lack of efficient evaluation methods. For each voxel, a time-intensity curve characterizes the enhancement of a contrast agent. Parameters derived from these curves characterize the perfusion and have to be integrated for diagnosis. The diagnostic evaluation of this multi-field data is challenging and time-consuming due to its complexity. For the visual analysis of such datasets, feature-based approaches allow to reduce the amount of data and direct the user to suspicious areas. We present an interactive visual analysis approach for the evaluation of perfusion data. For this purpose, we integrate statistical methods and interactive feature specification. Correlation analysis and Principal Component Analysis (PCA) are applied for dimension reduction and to achieve a better understanding of the inter-parameter relations. Multiple, linked views facilitate the definition of features by brushing multiple dimensions using non-binary and composite brushes. The specification result is linked to all views establishing a focus+context style of visualization in 3D. We discuss our approach with respect to clinical datasets from the three major application areas: breast tumor diagnosis, ischemic stroke diagnosis as well as the diagnosis of the coronary heart disease (CHD). It turns out that the significance of perfusion parameters strongly depends on the individual patient, scanning parameters and data pre-processing.","slice rendering, color coded, histogram, PCA, brushing",---
115,Integrated Visualization of Morphologic and Perfusion Data for the Analysis of Coronary Artery Disease,Oeltze et al.,2006,"MRI, CTA",3,-3,-1,-2,0,"Tissue, Organ",0,1,Physiology,Method,Process analysis,0.25,0.75,0,1,visual analysis but with element of direct visualization as well,blood flow (perfusion to heart tissue),Heart,Vis,"We presented visualization techniques for the analysis of perfusion data. In particular, the analysis of different parameters characterizing time-intensity curves for a particular voxel is supported. Colored icons, colored heightfields and flexible lenses turned out to be useful for the integrated visualization of different parameters. The visualization of perfusion parameters can be combined with the visualization of anatomic data in order to enhance the overview. For the analysis of myocardial perfusion, we support the analysis of perfusion data at rest and under stress. The Bull’s-Eye Plot which is frequently used for CAD diagnosis is refined to support the rest/stress comparison of perfusion parameters. The correlation between Bull’s-Eye Plot segments and the corresponding vascular structure is considered to allow a synchronized selection. The design and refinement of visualization techniques is guided by urgent diagnostic questions and informally discussed within clinical cooperations.",#NAME?,oeltze2006.jpg,"Oeltze, S.; Grothues, F.; Hennemuth, A.; Preim, B.","We present static and dynamic techniques to visualize perfusion data and to relate perfusion data to morphologic image data. In particular, we describe the integrated analysis of MRI myocardial perfusion data with CT coronary angiographies depicting the morphology. We refined the Bull’s-Eye Plot, a wide-spread and accepted analysis tool in cardiac diagnosis, to show aggregated information of perfusion data at rest and under stress. The correlation between regions of the myocard with reduced perfusion and 3d renditions of the coronary vessels can be explored within a synchronized visualization of both. With our research, we attempt to improve the diagnosis of early stage coronary artery disease.","slice rendering, bullseye plot, bulls-eye plot, brushing",---
116,Cluster Analysis of Vortical Flow in Simulations of Cerebral Aneurysm Hemodynamics,Oeltze et al.,2016,"MRI, CT",3,-3,-3,0,0,"Tissue, Organ",0,1,Physiology,Method,Structure analysis,0.25,0.75,0,1,visual analysis of vorteces with cutaway,blood flow,Cerebral aneurysm,Vis,A clustering-based approach for the visual analysis of vortical flow in simulated cerebral aneurysm hemodynamics,#NAME?,oeltze2016.jpg,"Oeltze, Steffen; Preim, Bernhard; Hauser, Helwig; Rørvik, Jarle; Lundervold, Arvid","Computational fluid dynamic (CFD) simulations of blood flow provide new insights into the hemodynamics of vascular pathologies such as cerebral aneurysms. Understanding the relations between hemodynamics and aneurysm initiation, progression, and risk of rupture is crucial in diagnosis and treatment. Recent studies link the existence of vortices in the blood flow pattern to aneurysm rupture and report observations of embedded vortices - a larger vortex encloses a smaller one flowing in the opposite direction - whose implications are unclear. We present a clustering-based approach for the visual analysis of vortical flow in simulated cerebral aneurysm hemodynamics. We show how embedded vortices develop at saddle-node bifurcations on vortex core lines and convey the participating flow at full manifestation of the vortex by a fast and smart grouping of streamlines and the visualization of group representatives. The grouping result may be refined based on spectral clustering generating a more detailed visualization of the flow pattern, especially further off the core lines. We aim at supporting CFD engineers researching the biological implications of embedded vortices.","clustering, grouping, streamlines, glyphs, Blood, Computational Fluid Dynamics, Shape, Bifurcation, Hemodynamics, Aneurysm, Visualization",---
117,A 3-D model used to explore how cell adhesion and stiffness affect cell sorting and movement in multicellular systems,Palsson,2008,Simulation,3,-5,-3,0,2,"Cell, Tissue",0,1,Physiology,Model,Process modeling,1,0,0,1,modeling used to illustrate,Cellular movement,Multicellular system,Biology,Model to determine the effects of adhesion and cell signaling on cell movements during aggregation,#NAME?,palsson.jpg,"Palsson, Eirikur","A three-dimensional mathematical model is used to determine the effects of adhesion and cell signalling on cell movements during the aggregation and slug stages of Dictyostelium discoideum (Dd) and to visualize cell sorting. The building blocks of the model are individual deformable ellipsoidal cells, where movement depends on internal parameter state (cell size and stiffness) and on external cues from the neighboring cells, extracellular matrix, and chemical signals. Cell movement and deformation are calculated from equations of motion using the total force acting on each cell, ensuring that forces are balanced. The simulations show that the sorting patterns of prestalk and prespore cells, emerging during the slug stage, depend critically on the type of cell adhesion and not just on chemotactic differences between cells. This occurs because cell size and stiffness can prevent the otherwise faster cells from passing the slower cells. The patterns are distinctively different when the prestalk cells are more or less adhesive than the prespore cells. These simulations suggest that sorting is not solely due to differential chemotaxis, and that differences in both adhesion strength and type between different cell types play a very significant role, both in Dictyostelium and other systems.","slice rendering, density rendering, 3D view, animation",---
118,Strain analysis and visualization: left ventricle of a heart,"Park, Park",2000,"simulation, MRI",3,-3,-2,-2,0,Organ,0,1,Physiology ,Method,Structure analysis,0.25,0.75,0,1,"explore output of parametric model, specific analytical goal is to quantitatively evaluate areas of strain on the left ventricular wall of the heart (comprehensive strain analysis)",heart beat (specifically motion of left ventricular wall),Heart,Vis,"\cite{park:2000} (park is visual analysis) Park et al. \cite{park:2000} created a method to model the patient left ventricle from the data, and to visualize different measures on the wall of the heart. Their tool is capable to explore the tensor field on the wall of the heart along main axis, circular axis, and to explore inner wall of the heart as well.
**""The 3D deformation fields of the LV models were initially estimated from tagged MRI data sets [19], which provide in-plane temporal correspondence of material points. While there is some initial experience in the use of tagged MRI and related techniques to study the 3D motion of the heart there is still no generally accepted method for analysis and display of the 3D heart motion. The parameter-function model captures the 3D deformation field in its model parameters, and the volumetric model can be regenerated based on the estimated parameter, allowing us to select any desired volume element within the myocardium for a conventional strain analysis. In this paper, we have verified that the results of a conventional strain analysis performed on the parameter-function model are in agreement with those from a conventional finite element model [15]. Furthermore, we have proposed a new methodology for visualizing multi-dimensional local quantities for a better rendition of overall strain variation. It will help to gain a thorough and localized understanding of the LV motion, and should significantly increase the clinical utility of such heart motion analyses.""",#NAME?,park.jpg,"Park, Jinah; Park, Sang Il","Clinical utility of computational models is crucial in the applications of medical data visualization. Previously we have developed a new class of volumetric models whose parameters are functions in conjunction with physically based deformable modeling framework, and have applied the technique to estimate the left ventricular (LV) wall motion. We have successfully showed that the model parameter functions characterize the LV motion of normal and abnormal states and that no further non-trivial post-processing is required for anatomically meaningful interpretation. In an e!ort to evaluate the LV model, this paper presents a method and results from a strain analysis based on the nodal displacements of the deformable LV model. Furthermore, in order to visualize the local quantities on the volumetric model for an e!ective analysis, we also developed a methodology to assist in assessing the cardiac function utilizing principal strains, Von-Mises' yield criteria, and a smoothing ""lter. Each strain tensor component was in the range of values observed in other reported studies. The application of a smoothing ""lter on the model improved in visualizing the overall trend of each strain variation. With our platform for a comprehensive strain analysis, we have augmented a clinical utility to the deformable models with parameter functions.","mesh, color coded",---
119,"GeomCell, Design of Cell Geometry","Parulek, Sramek, Zahradnik",2009,EM,3,-10,-6,---,---,Organelle,0,1,Anatomy,Tool,Structure analysis,0.75,0,0.25,1,direct visualization of the model output. Result can be used for communication ,---,Muscle cell,Vis,"Automatic methodology to construct muscle cells models and cell organelles, guided by model description language (MDL)",#NAME?,parulek.jpg,"Parulek, Julius; Šrámek, Miloš; Zahradník, Ivan","From the viewpoint of geometry, the structure of living cells is given by the 3D organization of their numerous intracellular organelles of various sizes, shapes, and locations. To understand them in their complexity, realistic computer models of cells may be instrumental and may moreover serve for virtual experiments and simulations of various kinds. We present a modeling concept based on the theory of implicit surfaces that allows for creation of a realistic infrastructure of the microworld of muscle cells. Creation of such models, consisting of hundreds or even thousands of organelles by means of traditional interactive techniques would, however, require unacceptably long time. Therefore, the whole model as well as each implicit object is created in an automatic process, guided by local and global geometric and statistic parameters. To accomplish this, we designed an XML-based cell modeling language. Further, the modeling system is supplemented by post-processing tools for model polygonization and voxelization, and, owing to high computational demands, was implemented in a grid environment.",Adding dynamic aspect to the model,add behavioral methods to organelles
120,Interactive Real Time Simulation of Cardiac Radio-Frequency Ablation,Pernod et al.,2010,Simulation,3,-3,-2,-1,0,"Tissue, Organ",0,1,Physiology,Model,Structure analysis,0.75,0,0.25,1,direct visualization of simulation,"heart beat, arrhythmia",Heart,Vis,"A medical procedure, where the dysfunctional tissue is ablated using the heat generated from medium frequency alternating current, is called radio-frequency ablation. This procedure is done on human hearts in case of cardiac arrhythmia. Pernod et al. \cite{pernod:2010} proposed a real-time electrophysiology model, which is both discrete for the state of cardiac tissue and continuous for the propagation of the electrical wave. They have applied the anisotropic Fast Marching Method to simulate the cardiac electrophysiology in real-time for tetrahedral meshes of coarse resolution (tissue level). The model has been coupled with pre-recorded realistic heart mechanical deformations, and helps to explore the propagation of the extracellular potential, pace locally the myocardium or simulate the burning of cardiac tissue as done in radiofrequency ablation interventions.",#NAME?,pernod.jpg,"Pernod, Erik; Sermesant, Maxime; Relan, Jatin; Delingette, Herve","Virtual reality based therapy simulation meets a growing interest from the medical community due to its potential impact for the training of medical residents and the planning of therapies. In this paper, we describe a prototype for rehearsing radio-frequency ablation of the myocardium in the context of cardiac arrhythmia. Our main focus has been on the real-time modeling of electrophysiology which is suitable for representing simple cases of arrhythmia (ectopic focus, ventricular tachycardia). To this end, we use an anisotropic multi-front fast marching method to simulate transmembrane potential propagation in cardiac tissues. The electric propagation is coupled with a pre-recorded beating heart model. Thanks to a 3D user interface, the user can interactively measure the local extracellular potential, pace locally the myocardium or simulate the burning of cardiac tissue as done in radiofrequency ablation interventions. To illustrate this work, we show the simulation of various arrhythmias cases built from patient specific medical images including the right and left ventricles, the fiber orientation and the location of ischemic regions.","mesh, surface mapping, color coded, virtual reality, VR",Extended to better represent the pathological behaviour and to include patient specific restitution curves
121,Blood Flow in Its Context: Combining 3D B-Mode and Color Doppler Ultrasonic Data,"Petersch, Honigmann",2007,D-US,3,-3,-1,-3,0,"Tissue, Organ",0,1,Physiology,Method,Process analysis,1,0,0,1,direct visualization,blood flow,Heart,Vis,"new combinations of photorealistic and NPR techniques in a one-level composite color rendering process for combined B-mode and power/color Doppler data, which offers different blending possibilities.",#NAME?,petersch.jpg,"Petersch, Bernhard; Hönigmann, Dieter","Visualization of volumetric multicomponent data sets is a high-dimensional problem, especially for color data. Medical 3D ultrasound (US) technology has rapidly advanced during the last few decades and scanners can now generate joint 3D scans of tissues (B-mode) and blood flow (power or color Doppler) in real time. Renderings of such data sets have to comprehensively convey both the relevant structures of the tissues that form the context for blood flow, as well as the distribution of blood flow itself. The narrow field of view in US data, which is often used to make real-time imaging possible, complicates volume exploration since only parts of organs are usually visible, that is, clearly defined anatomical landmarks are scarce. In addition, the noisy nature and low signal-tocontrast ratio of US data make effective visualization a challenge, whereby there are currently no convincing solutions for combined US B-mode and color Doppler data rendering. Therefore, displaying 2D slices out of the 3D data is still often the preferred visualization method. We present new combinations of photorealistic and nonphotorealistic rendering strategies for combined visualization of B-mode and color Doppler data, which are straightforward to implement, flexible, and suited for a wide range of US applications.","slice rendering, color coded, representation combination, Three-dimensional ultrasound, color Doppler, composite rendering, NPR, DVR, picture/image generation, threedimensional graphics and realism","GPU-based implementation, and we are aiming at a thorough clinical evaluation"
122,Cell lineage visualisation,"Pretorius, Khan, Errington",2015,Microscope,2,-5,-4,5,6,"Cell, Tissue",0,1,Physiology,Tool,Process analysis,0,1,0,1,visual analysis,Cell population development,Cancer tissue,Vis,Enabling comprehensive analysis of the cell population development,#NAME?,pretorius.jpg,"Pretorius, A. J.; Khan, I. A.; Errington, R. J.","Cell lineages describe the developmental history of cell populations and are produced by combining time-lapse imaging and image processing. Biomedical researchers study cell lineages to understand fundamental processes such as cell differentiation and the pharmacodynamic action of anticancer agents. Yet, the interpretation of cell lineages is hindered by their complexity and insufficient capacity for visual analysis. We present a novel approach for interactive visualisation of cell lineages. Based on an understanding of cellular biology and live-cell imaging methodology, we identify three requirements: multimodality (cell lineages combine spatial, temporal, and other properties), symmetry (related to lineage branching structure), and synchrony (related to temporal alignment of cellular events). We address these by combining visual summaries of the spatiotemporal behaviour of an arbitrary number of lineages, including variation from average behaviour, with node-link representations that emphasise the presence or absence of symmetry and synchrony. We illustrate the merit of our approach by presenting a real-world case study where the cytotoxic action of the anticancer drug topotecan was determined.","bar plot, tree view, brushing",Linking visual analysis to the underlying image data
123,A Novel Grid-based Visualization Approach for Metabolic Networks with Advanced Focus & Context View,Rohrschneider et al.,2010,Pathway,2,-9,-6,-6,5,Molecule,0,1,Physiology,Method,Process analysis,0,0.75,0.25,1,visual analysis with illustrative method,pathways,---,Vis,Combining and applying information visualization technique to present the complete set of biochemical reactions of metabolic pathways in eucaryotic cell,#NAME?,rohrschneider.jpg,"Rohrschneider, Markus; Heine, Christian; Reichenbach, André; Kerren, Andreas; Scheuermann, Gerik","The universe of biochemical reactions in metabolic pathways can be modeled as a complex network structure augmented with domain specific annotations. Based on the functional properties of the involved reactions, metabolic networks are often clustered into so-called pathways inferred from expert knowledge. To support the domain expert in the exploration and analysis process, we follow the well-known Table Lens metaphor with the possibility to select multiple foci. In this paper, we introduce a novel approach to generate an interactive layout of such a metabolic network taking its hierarchical structure into account and present methods for navigation and exploration that preserve the mental map. The layout places the network nodes on a fixed rectilinear grid and routes the edges orthogonally between the node positions. Our approach supports bundled edge routes heuristically minimizing a given cost function based on the number of bends, the number of edge crossings and the density of edges within a bundle.","network, layout, selection, focus and context",---
124,Multimodal Visualization with Interactive Closeups,Ropinski et al.,2009,"CT,MRI,PET",3,-3,-1,0,0,"Tissue, Organ",0,1,Anatomy,Method,"Structure analysis, Communication",0.25,0,0.75,1,"main goal to support doctor-doctor communication, explore images from multimodal acquisitions in a curated way",metabolic activity in whole body ,Body,Vis,"Compute a layout for 2D and 3D closeups, and how to edit a closeup configuration to prepare a presentation or a subsequent doctor-to-doctor communication",#NAME?,ropinski.jpg,"Ropinski, Timo; Viola, Ivan; Biermann, Martin; Hauser, Helwig; Hinrichs, Klaus","Closeups are used in illustrations to provide detailed views on regions of interest. They are integrated into the rendering of the whole structure in order to reveal their spatial context. In this paper we present the concept of interactive closeups for medical reporting. Each closeup is associated with a region of interest and may show a single modality or a desired combination of the available modalities using different visualization styles. Thus it becomes possible to visualize multiple modalities simultaneously and to support doctor-to-doctor communication on the basis of interactive multimodal closeup visualizations. We discuss how to compute a layout for 2D and 3D closeups, and how to edit a closeup configuration to prepare a presentation or a subsequent doctor-to-doctor communication. Furthermore, we introduce a GPU-based rendering algorithm, which allows to render multiple closeups at interactive frame rates. We demonstrate the application of the introduced concepts to multimodal PET/CT data sets additionally co-registered with MRI.","multimodal closeups, visual link, connecting spatial and nonspatial information",---
125,A visualization framework for the analysis of neuromuscular simulations,Pronost et al. ,2-11,"Simulation, MRI, Electromyography",3,-2,0,-3,0,"Organ, System*",0,1,Physiology,Tool,,0.5,0.5,0,1,framework to explore and analyze data sets from biomechanical and neuromuscular simulations,movement,"skeletal muscle, musculoskeletal system",biomechanics,"visual exploration of simulation and reconstructed volume data from MRI to understand drivers of motion for gait, crouch movements. includes IK tracking. Glyphcs encode direction and magnitude of data to understand dyanmics of movement. Can also compre muscle activation patterns to actual EMG signal (Electromyography (EMG) is a method for recording and evaluating the muscular activity)

""In this paper, we have presented a framework to create scientific visualizations of neuromuscular data. The visualizations are tightly integrated within the neuromuscular graphical user interface to ease interactions between data visualizations and simulations. Versatile information related to the different stages of a neuromuscular analysis can be explored and analyzed in a common framework. It has currently the ability to perform visualization of MR images, inverse kinematics errors, inverse dynamics torques, muscle activity, validation against EMG signals, FE simulations and sensitivity studies using adequate visual representations.""",,pronost.jpg,"Pronost, N.; Sandholm, A.; Thalmann, D.","We present a visualization framework for exploring and analyzing data sets from biomechanical and neuromuscular simulations. These data sets describe versatile information related to the different stages of a motion analysis. In studying these data using a 3D visualization approach, interactive exploring is important, especially for supporting spatial analysis. Moreover, as these data contain many various but related elements, numerical analysis of neuromuscular simulations is complicated. Visualization techniques enhance the analysis process, thus improving the effectiveness of the experiments. Our approach allows convenient definitions of relationships between numerical data sets and 3D objects. Scientific simulation data sets appropriate for this style of analysis are present everywhere motion analysis is performed and are predominant in many clinical works. In this paper, we outline the functionalities of the framework as well as applications embedded within the OpenSim simulation platform. These functionalities form an effective approach specifically designed for the investigation of neuromuscular simulations. This claim is supported by evaluation experiments where the framework was used to analyze gaits and crouch motions.",Scientific visualization; Biomechanics and neuromuscular simulation; Motion analysis; OpenSim software,--
126,E.O.Wilson's Life on Earth,"Ryan, McGill, Wilson",2014,Multiple,3,-9,-2,-9,0,"Molecule, Organelle, Cell, Tissue, Organ",1,1,Physiology,Survey,Comunication,0,0,0,0,illustration,Life,Body,Illustrator,"Book of life, with interactive animations",#NAME?,ryan.jpg,"Ryan, Morgan; McGill, Gael; Wilson, Edward O.","Designed to give students a deep understanding of the central topics of introductory biology, E. O. Wilson’s Life on Earth is a captivating iBooks Textbook presented as a seven-unit collection. In this first unit, we explore the unity of life by examining the shared features of all living things, inherited from a universal common ancestor. In addition, we look at the evolutionary mechanisms that—over the course of 3.5 billion years—created the countless species and forms of life that populate our diverse living planet. Each unit of the engagingly interactive E. O. Wilson’s Life on Earth features video, photo galleries, and Multi-Touch images and illustrations that inspire students to study, enjoy, and help protect the wonders of life on Earth.",illustration,---
127,Visualizing Spatiotemporal Dynamics of Multicellular Cell-Cycle Progression,Sakaue-Sawano et al.,2008,Microscope,2,-7,-4,3,5,"Cell, Tissue",0,0,Physiology,Method,Direct visualization,1,0,0,1,direct visualization,cell cycle regulation,Cell,Biology,"Sakaue et al. had proposed a novel method of coloring for fluorescence microscope, and to create a small multiple views of specific timesteps, to show an overall process of cell cycle progression.",#NAME?,sakaue.jpg,"Sakaue-Sawano, Asako; Kurokawa, Hiroshi; Morimura, Toshifumi; Hanyu, Aki; Hama, Hiroshi; Osawa, Hatsuki; Kashiwagi, Saori; Fukami, Kiyoko; Miyata, Takaki; Miyoshi, Hiroyuki; Imamura, Takeshi; Ogawa, Masaharu; Masai, Hisao; Miyawaki, Atsushi","The cell-cycle transition from G1 to S phase has been difficult to visualize. We have harnessed antiphase oscillating proteins that mark cell-cycle transitions in order to develop genetically encoded fluorescent probes for this purpose. These probes effectively label individual G1 phase nuclei red and those in S/G2/ M phases green. We were able to generate cultured cells and transgenic mice constitutively expressing the cell-cycle probes, in which every cell nucleus exhibits either red or green fluorescence. We performed time-lapse imaging to explore the spatiotemporal patterns of cell-cycle dynamics during the epithelial-mesenchymal transition of cultured cells, the migration and differentiation of neural progenitors in brain slices, and the development of tumors across blood vessels in live mice. These mice and cell lines will serve as model systems permitting unprecedented spatial and temporal resolution to help us better understand how the cell cycle is coordinated with various biological events.","small multiples, experimental coloring",---
128,Modeling Real-Time 3-D Lung Deformations for Medical Visualization,Santhanam et al.,2008,"CT, Simulation",3,-2,-1,0,2,Organ,0,1,Physiology,Model,"Process modeling,Direct visualization",1,0,0,1,direct visualization of lung model,lung dynamic,Lung,Vis,Physics based physiology based approach for modeling real time deformations of 3D high resolution lung models,#NAME?,santhanam.jpg,"Santhanam, Anand P.; Imielinska, Celina; Davenport, Paul; Kupelian, Patrick; Rolland, Jannick P.","In this paper, we propose a physics-based and physiology-based approach for modeling real-time deformations of 3-D high-resolution polygonal lung models obtained from highresolution computed tomography (HRCT) images of normal human subjects. The physics-based deformation operator is nonsymmetric, which accounts for the heterogeneous elastic properties of the lung tissue and spatial-dynamic flow properties of the air. An iterative approach is used to estimate the deformation with the deformation operator initialized based on the regional alveolar expandability, a key physiology-based parameter. The force applied on each surface node is based on the airflow pattern inside the lungs, which is known to be based on the orientation of the human subject. The validation of lung dynamics is done by resimulating the lung deformation and comparing it with HRCT data and computing force applied on each node derived from a 4-D HRCT dataset of a normal human subject using the proposed deformation operator and verifying its gradient with the orientation.",mesh,Study with more patient data
129,Understanding normal cardiac development using animated models,Schleich et al.,2002,Empirical,3,-3,-1,4,4,Organ,0,1,Anatomy,Model,"Process analysis, Comunication",0,0,1,1,designed for education/communication,development,Heart,Vis,Modeled the development of the heart through days.,#NAME?,schleich.jpg,"Schleich, Jean-Marc; Almange, Claude; Dillenseger, Jean-Louis; Coatrieux, Jean-Louis","Learning how the human heart develops is essential in cardiology education. It lets us understand a normal heart’s morphology and also explains the formation of congenital heart defects. However, learning cardiac embryology is difficult because the processes underlying the heart formation are complex. This complexity is caused by the fact that complicated organs like the heart are generated from only a couple of cells. Heart development isn’t easy to learn because students must understand the spatial arrangement of the anatomical structures and be able to perceive the dynamic evolution of these structures in its whole complexity. Students have traditionally studied heart development through either lectures or textbooks. But none of these teaching modalities adequately describes the spatiotemporal complexity of the heart’s development. To get an idea of the difficulty of such a description, see the sidebar “Development of Cardiac Outflow Tracts.” Classically, the descriptions are illustrated by sketches like Figure 1 that help us visualize or represent the spatiotemporal evolution of this phenomenon.1 However, such drawings and sketches aren’t effective because 2D pictures only give a partial impression of the objects’ geometry. Moreover, the dynamics of structural evolution can only be rendered with a limited sequence of static images. This inadequacy in representing complex spatial developments is a major limitation. As a result, researchers must undergo the tricky task of graphically illustrating the generation and temporal transformation of most cardiac structures. Fortunately, advanced computer graphics can provide substantial improvements for teaching medicine (see, for example, the special CG&Aissue on imaging in medical education2) by letting researchers design, model, visualize, and manipulate 3D objects as well as produce animated movies. This article shows how we created animated models to improve the understanding of the complex changes that occur during normal heart development.","mesh, animation",---
