Key from main,Title,Author,Year,Data Origin,Visual Dim,Space Scale Start,Space Scale Finish,Time Scale Start,Time Scale Finish,Level,Multi scale,Human,Phys/Anat,Survey model method tool,Old Purpose,Exploration,Analysis,Communication,Purpose test,Purpose comment,Process,Structure,Origin,Concept,Ref. Image,Image Name,Bibtex Authors,Abstract,Keywords,Future work
48,Characterizing Molecular Interactions in Chemical Systems,Gunther et al.,2014,Simulation,3,-10,-9,-15,-9,Molecule,0,1,Physiology,Method,Process analysis,0.25,0,0.75,1,direct visualization of molecular properties with illustrations,Molecular dynamic,Molecule,Vis,"Gunther et al. has proposed a system to visualize the surface of atoms, and their force-based connections with other atoms. System is helpful for the study of molecular folding process, bonding, and self-assembly.",#NAME?,gunther.jpg,"Günther, David; Boto, Roberto A.; Contreras-Garcia, Julia; Piquemal, Jean-Philip; Tierny, Julien","Interactions between atoms have a major influence on the chemical properties of molecular systems. While covalent interactions impose the structural integrity of molecules, noncovalent interactions govern more subtle phenomena such as protein folding, bonding or self assembly. The understanding of these types of interactions is necessary for the interpretation of many biological processes and chemical design tasks. While traditionally the electron density is analyzed to interpret the quantum chemistry of a molecular system, noncovalent interactions are characterized by low electron densities and only slight variations of them - challenging their extraction and characterization. Recently, the signed electron density and the reduced gradient, two scalar fields derived from the electron density, have drawn much attention in quantum chemistry since they enable a qualitative visualization of these interactions even in complex molecular systems and experimental measurements. In this work, we present the first combinatorial algorithm for the automated extraction and characterization of covalent and noncovalent interactions in molecular systems. The proposed algorithm is based on a joint topological analysis of the signed electron density and the reduced gradient. Combining the connectivity information of the critical points of these two scalar fields enables to visualize, enumerate, classify and investigate molecular interactions in a robust manner. Experiments on a variety of molecular systems, from simple dimers to proteins or DNA, demonstrate the ability of our technique to robustly extract these interactions and to reveal their structural relations to the atoms and bonds forming the molecules. For simple systems, our analysis corroborates the observations made by the chemists while it provides new visual and quantitative insights on chemical interactions for larger molecular systems.","arrow glyphs, topological analysis",---
49,3D blood flow characteristics in the carotid artery bifurcation assessed by flow-sensitive 4D MRI at 3T,Harloff et al.,2009,PC-MRI,3,-3,-2,-2,0,"Tissue, Organ",0,1,Physiology,Method,Process analysis,0.75,0.25,0,1,direct visualization of 4D CMR,blood flow,Vessel,Medical imaging,Harloff et al. created a pathline visualization  of flow from 3D MRI.,#NAME?,harloff.jpg,"Harloff, A.; Albrecht, F.; Spreer, J.; Stalder, A. F.; Bock, J.; Frydrychowicz, A.; Schöllhorn, J.; Hetzel, A.; Schumacher, M.; Hennig, J.; Markl, M.","To determine three-dimensional (3D) blood flow patterns in the carotid bifurcation, 10 healthy volunteers and nine patients with internal carotid artery (ICA) stenosis ?50% were examined by flow-sensitive 4D MRI at 3T. Absolute and mean blood velocities, pulsatility index (PI), and resistance index (RI) were measured in the common carotid arteries (CCAs) by duplex sonography (DS) and compared with flow-sensitive 4D MRI. Furthermore, 3D MRI blood flow patterns in the carotid bifurcation of volunteers and patients before and after recanalization were graded by two independent readers. Blood flow velocities measured by MRI were 31-39% lower than in DS. However, PI and RI differed by only 13-16%. Rating of 3D flow characteristics in the ICA revealed consistent patterns for filling and helical flow in volunteers. In patients with ICA stenosis, 3D blood flow visualization was successfully employed to detect markedly altered filling and helical flow patterns (forward-moving spiral flow) in the ICA bulb and to evaluate the effect of revascularization, which restored filling and helical flow. Our results demonstrate the feasibility of flow-sensitive 4D MRI for the quantification and 3D visualization of physiological and pathological flow patterns in the carotid artery bifurcation.","flow visualization, arrows, pathlines, color coded",---
50,Real-Time Strain Rate Imaging of the Left Ventricle by Ultrasound,Heimdal et al.,1998,US,2,-2,-2,0,0,Organ,0,1,Physiology,Method,Process analysis,1,0,0,1,direct visualization,left ventricle deformation,Heart,Medical,"During heartbeat, the heart is deformed. Measurement for the rate of deformation is called \textit{strain rate}. Strain rate is important measure for detection of the heart dysfunction from the infarction. Heimdal et al. \cite{heimdal:1998} have developed a method to derive this information from Doppler ultrasound, and visualize it on color-coded 2D cine loop, showing the strain rate component along the ultrasound beam axis.",#NAME?,heimdal.jpg,"Heimdal, Andreas; Støylen, Asbjørn; Torp, Hans; Skjærpe, Terje","The regional function of the left ventricle can be visualized in real-time using the new strain rate imaging method. Deformation or strain of a tissue segment occurs over time during the cardiac cycle. The rate of this deformation, the strain rate, is equivalent to the velocity gradient, and can be estimated using the tissue Doppler technique. We present the strain rate as color-coded 2-dimensional cine-loops and color M-modes showing the strain rate component along the ultrasound beam axis. We tested the method in 6 healthy subjects and 6 patients with myocardial infarction. In the healthy hearts, a spatially homogeneous distribution of the strain rate was found. In the infarcted hearts, all the infarcted areas in this study showed up as hypokinetic or akinetic, demonstrating that this method may be used for imaging of regional dysfunction. Shortcomings of the method are discussed, as are some possible future applications of the method.","b-mode, doppler, combination rendering",---
51,CT Late Enhancement Segmentation for the Combined Analysis of Coronary Arteries and Myocardial Viability,Hennemuth et al.,2008,CT Angiogram,3,-4,-1,-3,0,"Tissue, Organ",0,0,Anatomy,Method,Structure analysis,0.25,0.75,0,1,visual analysis with the combination of direct visualization,blood flow (perfusion to heart tissue),Heart,Vis,"The coronary arteries supply oxygen-rich blood to the heart muscle. Coronary heart disease (CHD) is a disease in which a waxy substance called plaque builds up inside the coronary arteries, and limits a blood supply for the heart. Hennemuth et al. \cite{hennemuth:2008} have proposed a new method for the segmentation of late enhancement regions in CT images to allow a combination of coronary artery inspection with a viability analysis of the dependent myocardial tissue. (This is really on the edge of physiology, as it is just segmentation method).",#NAME?,hennemuth.jpg,"Hennemuth, A.; Mahnken, A.; Kühnel, C.; Oeltze, S.; Peitgen, H.-O.","Non-invasive imaging techniques become more and more important as diagnostic tools for the assessment of coronary heart disease (CHD). While CT is widely applied for the inspection of the coronary arteries, the state of myocardial tissue is normally analyzed with MRI or nuclear imaging methods such as PET or SPECT. The effect of late enhancement, the accumulation of contrast agent in defective tissue, is used to assess tissue viability with MR imaging. Studies have shown, that this effect can be observed for iodine based contrast agents, which are used for CT coronary artery imaging, as well. Thus the goal of this work is the development of segmentation and visualization methods, which allow a combined inspection of the coronary arteries and the viability of the corresponding myocardial tissue. We therefore present a new segmentation method for the analysis of CT late enhancement images and the integration with methods for the inspection of the coronary arteries. In preliminary tests by a radiologist, the methods are applied to 4 datasets to compare the segmentation with the reference method, test the combined inspection for data with a known relation between infarction and supplying artery and test the general applicability to patient data. The preliminary results are promising, and further studies will focus on the evaluation of the segmentation method as well as on the clinical benefit through the combined analysis.","bullseye, histogram, 3D view, volume, brushing",---
52,Physics-Based Visual Characterization of Molecular Interaction Forces,Hermosilla et al.,2017,"Simulation, PDB",3,-10,-9,-15,-9,Molecule,0,1,Physiology,Method,Process analysis,0.25,0.5,0.25,1,Glyph based arrow visualization showing the energies influences on the binding process of the reactive molecules. Moreover abstraction and simplification to 2D was presented to allow visual analysis of important forces.,molecular reaction,molecule,Vis,Glyph based arrow visualization showing the energies influences on the binding process of the reactive molecules. Moreover abstraction and simplification to 2D was presented to allow visual analysis of important forces.,#NAME?,hermosilla.jpg,"Hermosilla, Pedro; Estrada, Jorge; Guallar, Victor; Ropinski, Timo; Vinacua, Àlvar; Vázquez, Pere-Pau","Molecular simulations are used in many areas of biotechnology, such as drug design and enzyme engineering. Despite the development of automatic computational protocols, analysis of molecular interactions is still a major aspect where human comprehension and intuition are key to accelerate, analyze, and propose modifications to the molecule of interest. Most visualization algorithms help the users by providing an accurate depiction of the spatial arrangement: the atoms involved in inter-molecular contacts. There are few tools that provide visual information on the forces governing molecular docking. However, these tools, commonly restricted to close interaction between atoms, do not consider whole simulation paths, long-range distances and, importantly, do not provide visual cues for a quick and intuitive comprehension of the energy functions (modeling intermolecular interactions) involved. In this paper, we propose visualizations designed to enable the characterization of interaction forces by taking into account several relevant variables such as molecule-ligand distance and the energy function, which is essential to understand binding affinities. We put emphasis on mapping molecular docking paths obtained from Molecular Dynamics or Monte Carlo simulations, and provide time-dependent visualizations for different energy components and particle resolutions: atoms, groups or residues. The presented visualizations have the potential to support domain experts in a more efficient drug or enzyme design process.","glyphs, 2D mapping, color coded, brushing, filtering, focus & context",---
53,A cell-based simulation software for multi-cellular systems,Hoehme and Drasdo,2010,Simulation,3,-5,-4,3,5,"Cell, Tissue",0,1,Physiology,Tool,Process simulation,0.25,0,0.75,1,direct visualization of partially illustrative modeling,multi-cellular dynamics,Cell,Bioinf,CellSys - system for simulating growth and organization process in multicellular systems.,#NAME?,hoehme2010simulation.jpg,"Hoehme, Stefan; Drasdo, Dirk","CellSys is a modular software tool for efficient off-lattice simulation of growth and organization processes in multi-cellular systems in 2D and 3D. It implements an agent-based model that approximates cells as isotropic, elastic and adhesive objects. Cell migration is modeled by an equation of motion for each cell. The software includes many modules specifically tailored to support the simulation and analysis of virtual tissues including real-time 3D visualization and VRML 2.0 support. All cell and environment parameters can be independently varied which facilitates species specific simulations and allows for detailed analyses of growth dynamics and links between cellular and multi-cellular phenotypes.",animation,---
54,Prediction and validation of cell alignment along microvessels as order principle to restore tissue architecture in liver regeneration,Hoehme et al.,2010,Microscope,3,-7,-4,3,5,"Cell, Tissue",0,1,Physiology,Model,Process modeling,0.25,0,0.75,1,direct visualization of partially illustrative modeling,Liver recovery,Liver,BioPhysics,"Established a procedure based on confocal laser scans, image processing, and 3D tissue reconstruction to research tissue structure emergence.",#NAME?,hoehme2010tissue.jpg,"Hoehme, Stefan; Brulport, Marc; Bauer, Alexander; Bedawy, Essam; Schormann, Wiebke; Hermes, Matthias; Puppe, Verena; Gebhardt, Rolf; Zellmer, Sebastian; Schwarz, Michael; Bockamp, Ernesto; Timmel, Tobias; Hengstler, Jan G.; Drasdo, Dirk","Only little is known about how cells coordinately behave to establish functional tissue structure and restore microarchitecture during regeneration. Research in this field is hampered by a lack of techniques that allow quantification of tissue architecture and its development. To bridge this gap, we have established a procedure based on confocal laser scans, image processing, and three-dimensional tissue reconstruction, as well as quantitative mathematical modeling. As a proof of principle, we reconstructed and modeled liver regeneration in mice after damage by CCl4, a prototypical inducer of pericentral liver damage.We have chosen the regenerating liver as an example because of the tight link between liver architecture and function: the complex microarchitecture formed by hepatocytes and microvessels, i.e. sinusoids, ensures optimal exchange of metabolites between blood and hepatocytes. Our model captures all hepatocytes and sinusoids of a liver lobule during a 16 days regeneration process. The model unambiguously predicted a so-far unrecognized mechanism as essential for liver regeneration, whereby daughter hepatocytes align along the orientation of the closest sinusoid, a process which we named “hepatocyte-sinusoid alignment” (HSA). The simulated tissue architecture was only in agreement with the experimentally obtained data when HSA was included into the model and, moreover, no other likely mechanism could replace it. In order to experimentally validate the model of prediction of HSA, we analyzed the three-dimensional orientation of daughter hepatocytes in relation to the sinusoids. The results of this analysis clearly confirmed the model prediction.We believe our procedure is widely applicable in the systems biology of tissues.",animation,---
55,VMD: Visual molecular dynamics,"Humphrey, Dalke, Schulten",1996,PDB,3,-10,-6,-15,0,Molecule,0,1,Anatomy,Tool,Process analysis,1,0,0,1,direct visualization of molecule,molecular dynamics,Molecule,Vis,VMD - a tool for the visualization of molecular structures and dynamics.,---,humphrey.jpg,"Humphrey, William; Dalke, Andrew; Schulten, Klaus","VMD is a molecular graphics program designed for the display and analysis of molecular assemblies, in particular biopolymers such as proteins and nucleic acids. VMD can simultaneously display any number of structures using a wide variety of rendering styles and coloring methods. Molecules are displayed as one or more ""representations"", in which each representation embodies a particular rendering method and coloring scheme for a selected subset of atoms. The atoms displayed in each representation are chosen using an extensive atom selection syntax, which includes Boolean operators and regular expressions. VMD provides a complete graphical user interface for program control, as well as a text interface using the Tcl embeddable parser to allow for complex scripts with variable substitution, control loops, and function calls. Full session logging is supported, which produces a VMD command script for later playback. High-resolution raster images of displayed molecules may be produced by generating input scripts for use by a number of photorealistic image-rendering applications. VMD has also been expressly designed with the ability to animate molecular dynamics (MD) simulation trajectories, imported either from files or from a direct connection to a running MD simulation. VMD is the visualization component of MDScope, a set of tools for interactive problem solving in structural biology, which also includes the parallel MD  program NAMD, and the MDCOMM software used to connect the visualization and simulation programs. VMD is written in C++, using an object-oriented design, the program, including source code and extensive documentation, is freely available via anonymous ftp and through the World Wide Web.","balls and sticks, space filling, ribbon",---
56,Modeling Human Physiology: The IUPS/EMBS Physiome Project,Hunter et al.,2006,Multiple,---,-9,0,-6,5,"Molecule, Organelle, Cell, Tissue, Organ",1,1,Physiology,Survey,Process modeling,0,0,0,0,modeling,multi-scale physiology,Human body,Interdisciplinary,Physiome project,---,---,"Hunter, P.J.","The Physiome Project is an international collaboration to provide a framework for understanding human physiology, from proteins and cells to tissues and organs, with multiscale models that use computational techniques derived from engineering and software approaches from computer science. With the increasing interest in modeling living systems from research scientists in many branches of mathematics, physics, and engineering, it is timely to review what has been achieved, what lessons can be learned from the efforts so far, and what needs to be done to facilitate the international collaboration that is essential to the project’s success. In particular, we review the development of models at spatial scales from genes and proteins to the whole body, and the development of standards, tools, and databases to facilitate multiscale modeling. Some applications of the physiome models are described, including applications in medical diagnostics, the design of medical devices, virtual surgery, surgical training, and medical education.",---,---
57,"Visualizing multiscale, multiphysics simulation data: Brain blood flow","Insley, Grinberg, Papka",2011,Simulation,3,-5,-2,-10,0,"Cell,Tissue,Organ",1,1,Physiology,Method,"Process modeling,Process simulation,Process analysis",0.5,0.25,0.25,1,"strong focus on exploration of simulation data, visual analysis through data derivation to show the flow data, illustrative elements to communicate the shapes in the system, e.g., platelets, red blood cells",brain blood flow,Cerebrovasculature,Vis,"Insley et al. created a multiscale visualization of blood flow in brain. They have coupled the multiscale data from atomistic simulation of blood flow with a patient specific cerebrovasculature. Resulting visualization allows to see an overview of the blood flow, and also to focus on area of interest, and to zoom on them up to cell level.",#NAME?,insley.jpg,"Insley, Joseph A.; Grinberg, Leopold; Papka, Michael E.","Accurately predicting many physical and biological systems requires modeling interactions of macroscopic and microscopic events. This results in large and heterogeneous data sets on vastly differing scales, both physical and temporal. The ability to use a single integrated tool for the visualization of multiscale simulation data is important to understanding the effects that events at one scale have on events in the other. In the case of blood flow, we examine how the large-scale flow patterns influence blood cell behavior. In this paper we describe the visualization tools that were developed for data from coupled continuum - atomistic simulations. Specifically, we overview a) a custom ParaView reader plug-in that processes macro-scale continuum data computed by a highorder spectral element solver, and b) an adaptive proper orthogonal decomposition-based technique for the visualization of nonstationary velocity fields from atomistic simulations. We also discuss how the ParaView parallel processing and rendering infrastructure was leveraged in the new tools. We apply our methods to visualize multiscale data from coupled continuum-atomistic simulations of blood flow in a patient-specific cerebrovasculature with a brain aneurysm.","multi scale, particles, isosurface, slice, streamtubes",---
58,Visualizing the origins of life: Molecular animation for scientific research and education,Iwasa,2007,"PDB, Simulation (from animation)",3,-10,-6,-6,2,"Molecule, Organelle",0,0,No,Model,Comunication,0,0,1,1,illustration,vesicle formation,---,Illustrator,"show molecular resolution but also formation of vesicles (organelles)
animations of the primary components of early cells, simulating

(1) RNA replication by a ribozyme and
(2) the process of vesicular growth and division in a prebiotic environment.

TIme scale: RNA replication can take about 3 min for eukaryotes, so putting in this rough ballpack. Since we have molecular visualization then considering the nanoscale molecular dynamics that this animation would also depict.",#NAME?,iwasa.jpg,"Iwasa, Janet","How did life evolve on Earth, and what form did it take? Biochemists are attempting to address these questions using molecular clues found in our own cells. All life on the planet, from bacteria to humans, share a system of storing genetic information in the form of DNA and/or RNA molecules. Very early in Earth's history, the first living cell is likely to have evolved this system from simple chemical compounds found in the early terrestrial environment. This project seeks to use scientifically accurate molecular animations to illustrate the leading theories on how cellular life arose on the early Earth, and the experiments that are currently being done in biochemistry laboratories to test these theories. Molecular visualizations of the origins of life, created in close collaboration with researchers and science educators, will be used to communicate cutting-edge science research to the public and will also be used for presentations within the scientific community.",animation,---
59,Visual Analysis of Brain Activity from fMRI Data,Janoos et al.,2009,fMRI,3,-3,-1,-2,0,"Tissue, Organ",0,1,Physiology,Method,Process analysis,0.25,0.75,0,1,visual analysis with some direct visualization,brain activity,Brain,Vis,"Solution to the VOI selection problem, by merging an algorithmic VOI selection system with a user-driven feedback in order to leverage the user’s expert understanding.
""we have tried to address the important problem of visualizing the time dimension of fMRI data, in order to understand temporal relationships in brain function. In order to achieve this, we developed a solution to the VOI selection problem, by merging an algorithmic VOI selection system with a user-driven feedback in order to leverage the user's expert understanding. We proposed an activation dissimilarity metric that captured the context of the neuro-functional phenomena being investigated, through a transform into wavelet space and a projection onto a subspace spanned by the expected behaviour. Our tool presents a candidate set of VOIs to the user through a hierarchical clustering procedure, and the user can navigate through this hierarchy to select VOIs. This VOI selection is performed interactively, where both the quality metrics of the VOI and the expert knowledge of brain function guide the user in his visual analysis task.""",#NAME?,janoos.jpg,"Janoos, Firdaus; Nouanesengsy, Boonthanome; Machiraju, Raghu; Shen, Han Wei; Sammet, Steffen; Knopp, Michael; Mórocz, István Á","Classically, analysis of the time-varying data acquired during fMRI experiments is done using static activation maps obtained by testing voxels for the presence of significant activity using statistical methods. The models used in these analysis methods have a number of parameters, which profoundly impact the detection of active brain areas. Also, it is hard to study the temporal dependencies and cascading effects of brain activation from these static maps. In this paper, we propose a methodology to visually analyze the time dimension of brain function with a minimum amount of processing, allowing neurologists to verify the correctness of the analysis results, and develop a better understanding of temporal characteristics of the functional behaviour. The system allows studying time-series data through specific volumes-of-interest in the brain-cortex, the selection of which is guided by a hierarchical clustering algorithm performed in the wavelet domain. We also demonstrate the utility of this tool by presenting results on a real data-set.","slice rendering, color coded, time curve, hierarchical tree, brushing","More intuitive and navigable methods of presenting the VOI hierarchy tree, through the use of tree-maps and other such abstractions"
60,"Visual Integration of Quantitative Proteomic Data, Pathways, and Protein Interactions",Jianu et al.,2010,Pathway,2,-10,-6,-6,5,Molecule,0,1,Physiology,Method,Process analysis,0,1,0,1,visual analysis,protein-protein interaction,Molecule,Vis,"A novel visualization and interaction paradigms for visual analysis of published protein-protein interaction networks, canonical signaling pathway models, and quantitative proteomic data.",#NAME?,jianu.jpg,"Jianu, R.; Kebing, Yu; Lulu, Cao; Vinh, Nguyen; Salomon, A. R.; Laidlaw, D. H.","We introduce several novel visualization and interaction paradigms for visual analysis of published protein-protein interaction networks, canonical signaling pathway models, and quantitative proteomic data. We evaluate them anecdotally with domain scientists to demonstrate their ability to accelerate the proteomic analysis process. Our results suggest that structuring protein interaction networks around canonical signaling pathway models, exploring pathways globally and locally at the same time, and driving the analysis primarily by the experimental data, all accelerate the understanding of protein pathways. Concrete proteomic discoveries within T-cells, mast cells, and the insulin signaling pathway validate the findings. The aim of the paper is to introduce novel protein network visualization paradigms and anecdotally assess the opportunity of incorporating them into established proteomic applications. We also make available a prototype implementation of our methods, to be used and evaluated by the proteomic community.","focus and context, network, heatmap, clustering, filtering, selection",---
61,Rapid Visual Inventory & Comparison of Complex 3D Structures,Johnson,2011,Microscope,3,-6,-5,0,0,"Organelle, Cell",0,1,Anatomy,Method,Communication,0,0,1,1,illustration,cell metabolism,---,Illustrator,"Johnson has created an animation, which shows the positioning of the organelles inside the cell, which are then continuously re-positioned into groups, showing how much space which type of organelle is taking from the whole cell.",,johnson.jpg,Graham Johnson,"This entry demonstrates a new visualization standard we've developed so that complex three-dimensional (3D) datasets can be computationally 'morphed' into much simpler 3D geometric abstractions that are more ""visually intuitive"" than the original images. Our approach can be used to streamline the scientific analysis of multiple parameters simultaneously for complex 3D images and/or to more effectively communicate key insights afforded from such data to a wide variety of audiences (both scientists and the general public), including schoolchildren.",packing,---
62,Interactive Coordinated Multiple-View Visualization of Biomechanical Motion Data,Keefe et al.,2009,Biplane fluoroscopy,3,-2,-1,0,0,Organ,0,1,Physiology,Method,Process analysis,0.25,0.75,0,1,"visual analysis, direct visualization of skull to understand data/movement, parallel coordinates show parameters, e.g., angular velocity ","biomechanical motion, chewing and so on",Body + Skull,Vis,Interactive framework for exploring space-time relationship in experimentally collected high resolution dataset,#NAME?,keefe.jpg,"Keefe, Daniel; Ewert, Marcus; Ribarsky, William; Chang, Remco","We present an interactive framework for exploring space-time and form-function relationships in experimentally collected high-resolution biomechanical data sets. These data describe complex 3D motions (e.g. chewing, walking, flying) performed by animals and humans and captured via high-speed imaging technologies, such as biplane fluoroscopy. In analyzing these 3D biomechanical motions, interactive 3D visualizations are important, in particular, for supporting spatial analysis. However, as researchers in information visualization have pointed out, 2D visualizations can also be effective tools for multi-dimensional data analysis, especially for identifying trends over time. Our approach, therefore, combines techniques from both 3D and 2D visualizations. Specifically, it utilizes a multi-view visualization strategy including a small multiples view of motion sequences, a parallel coordinates view, and detailed 3D inspection views. The resulting framework follows an overview first, zoom and filter, then details-on-demand style of analysis, and it explicitly targets a limitation of current tools, namely, supporting analysis and comparison at the level of a collection of motions rather than sequential analysis of a single or small number of motions. Scientific motion collections appropriate for this style of analysis exist in clinical work in orthopedics and physical rehabilitation, in the study of functional morphology within evolutionary biology, and in other contexts. An application is described based on a collaboration with evolutionary biologists studying the mechanics of chewing motions in pigs. Interactive exploration of data describing a collection of more than one hundred experimentally captured pig chewing cycles is described.","small multiples, parallel coordinates, line plot, brushing","Scalability, small multiples, new data sources"
63,Visualization of molecular interactions by fluorescence complementation,Kerppola,2006,Microscope,2,-7,-7,-6,2,Molecule,0,1,Physiology,Method,"Direct visualization,Process analysis",1,0,0,1,direct visualization,Protein interaction,Proteins,Molecular biology,Description of two coloring method to get direct visualization of protein interaction.,#NAME?,kerppola.jpg,"Kerppola, Tom K.",The visualization of protein complexes in living cells enables the examination of protein interactions in their normal environment and the determination of their subcellular localization. The bimolecular fluorescence complementation assay has been used to visualize interactions among multiple proteins in many cell types and organisms. Modified forms of this assay have been used to visualize the competition between alternative interaction partners and the covalent modification of proteins by ubiquitin-family peptides.,experimental coloring,---
64,Our Resilient Genome,Kingman,2014,Animation,3,-9,-9,-3,-2,Molecule,0,1,Physiology,Model,Comunication,0,0,1,1,illustration,DNA repair,DNA,Illustrator,"Diffusion movement of molecules can be in micro-seconds and thus impossible for human visual perception to conceive. Animations are than representing different sampling of the process state. This can be created offline, for example Kingman have created  a short science animation of DNA repair. ",#NAME?,kingman.jpg,"Kingman, Pina","Our Resilient Genome is a short science animation by filmmaker Pina Kingman. It was developed as part of the PhysioIllustration Project with the Visualization Group, Department of Informatics at the University of Bergen. The aim of this project is to research novel visual communication techniques and advance knowledge translation methods, specifically in the field of molecular and cellular biology. This research culminated in the creation of a short film describing DNA Repair and is intended for the general public. In addition to showcasing our novel visual communication methods, the film also highlights research undertaken by the Department of Molecular Biology, UiB. The film tells the story of our DNA, how it is constantly breaking and rebuilding over and over again to keep us alive, and provides a  glimpse into the fascinating world of cellular biology.",illustrative animation,---
65,Prediction Framework for Statistical Respiratory Motion Modeling,"Klinder, Lorenz, Ostermann",2010,"CT, Simulation",3,-3,-1,-2,0,Organ,0,1,Physiology,Model,Process modeling,1,0,0,1,modeling and direct visualization,breathing,Lung,Vis,A statistical motion model can help to overcome the problems caused by breathing,#NAME?,klinder.jpg,"Klinder, Tobias; Lorenz, Cristian; Ostermann, Jörn","Breathing motion complicates many image-guided interventions working on the thorax or upper abdomen. However, prior knowledge provided by a statistical breathing model, can reduce the uncertainties of organ location. In this paper, a prediction framework for statistical motion modeling is presented and different representations of the dynamic data for motion model building of the lungs are investigated. Evaluation carried out on 4D-CT data sets of 10 patients showed that a displacement vector-based representation can reduce most of the respiratory motion with a prediction error of about 2 mm, when assuming the diaphragm motion to be known.","volume, mesh, combination rendering",---
66,Semi-Automatic Vortex Extraction in 4D PC-MRI Cardiac Blood Flow Data using Line Predicates,Kohler et al.,2013,PC-MRI,3,-3,-1,-2,0,"Tissue, Organ",0,1,Physiology,Method,Process analysis,0.25,0.75,0,1,"derivation of data, summarization of the data with arrow glyphs that tie directly to features of data (more geared toward exploration of data rather than communicating)",blood flow,Aorta,Vis,Kohler et al. proposed an aproach for extraction of vortex flow in the aorta and pulmonary artery incorporating line predicates from 4D PC-MRI. Their method was tested for the extension of existing diagnosis of cardio-vascular diseases.,#NAME?,kohler.jpg,"Köhler, Benjamin; Gasteiger, Rocco; Preim, Uta; Theisel, Holger; Gutberlet, Matthias; Preim, and Bernhard","Cardiovascular diseases (CVD) are the leading cause of death worldwide. Their initiation and evolution depends strongly on the blood flow characteristics. In recent years, advances in 4D PC-MRI acquisition enable reliable and time-resolved 3D flow measuring, which allows a qualitative and quantitative analysis of the patient-specific hemodynamics. Currently, medical researchers investigate the relation between characteristic flow patterns like vortices and different pathologies. The manual extraction and evaluation is tedious and requires expert knowledge. Standardized, (semi-)automatic and reliable techniques are necessary to make the analysis of 4D PC-MRI applicable for the clinical routine. In this work, we present an approach for the extraction of vortex flow in the aorta and pulmonary artery incorporating line predicates. We provide an extensive comparison of existent vortex extraction methods to determine the most suitable vortex criterion for cardiac blood flow and apply our approach to ten datasets with different pathologies like coarctations, Tetralogy of Fallot and aneurysms. For two cases we provide a detailed discussion how our results are capable to complement existent diagnosis information. To ensure real-time feedback for the domain experts we implement our method completely on the GPU.","flow visualization, arrows, pathlines, line predicates, filtering",Extending by reliable segmentation
67,Interactively illustrating polymerization using three-level model fusion,Kolesar et al.,2014,"Simulation,PDB",2,-9,-9,-15,-9,Molecule,0,1,Physiology,Method,Process analysis,0.25,0.5,0.25,1,visual analysis,protein tunnel dynamics,Molecule,Vis,The authors have introduced an explorative method of unfolded tunnel representation to get a more detailed visualization of the amino acids areas of influence in the tunnel.,#NAME?,kolesar-2016.jpg,"Kolesar, Ivan; Parulek, Julius; Viola, Ivan; Bruckner, Stefan; Stavrum, Anne-Kristin; Hauser, Helwig","The presence of tunnels in protein structures substantially influences their reactivity with other molecules. Therefore, studying their properties and changes over time has been in the scope of biochemists for decades. In this paper we introduce a novel approach for the comparative visualization and exploration of ensembles of tunnels. Our goal is to overcome occlusion problems with traditional tunnel representations while providing users a quick way to navigate through the input dataset and to identify potentially interesting tunnels. First, we unfold the input tunnels to a 2D representation enabling to observe the mutual position of amino acids forming the tunnel surface and the amount of surface they influence. These 2D images are subsequently described by image moments commonly used in image processing. This way we are able to detect similarities and outliers in the dataset, which are visualized as clusters in a scatterplot graph. The same coloring scheme is used in the linked bar chart enabling to detect the position of the cluster members over time. These views provide a way to select a subset of potentially interesting tunnels that can be further explored in detail using the 2D unfolded view and also traditional 3D representation. The usability of our approach is demonstrated by case studies conducted by domain experts.","spatial abstraction, visual analysis, brushing",---
68,Unfolding and Interactive Exploration of Protein Tunnels and their Dynamics,Kolesar et al.,2016,Simulation,3,-9,-8,-15,-4,Molecule,1,1,Physiology,Method,Process analysis,0.25,0,0.75,1,Interactive illustration of polymerization,Polymerization ranges spatially from molecules to macromolecules and temporally from nanoseconds (monomer movement) to seconds (overall process of polymerization),Nucleotid,Bioinformatics,Illustrative animation model to show the emergence of the tree-like structures. The authors have proposed an illustrative model showing the process of polymerization in time scale ranging from nanoseconds to seconds. Model allows to steer the environment of the simulation and better explore and understand this complex process.,#NAME?,kolesar.jpg,"Kolesár, Ivan; Byška, Jan; Parulek, Julius; Hauser, Helwig; Kozlíková, Barbora","Background: Research in cell biology is steadily contributing new knowledge about many aspects of physiological processes, both with respect to the involved molecular structures as well as their related function. Illustrations of the spatio-temporal development of such processes are not only used in biomedical education, but also can serve scientists as an additional platform for in-silico experiments. Results: In this paper, we contribute a new, three-level modeling approach to illustrate physiological processes from the class of polymerization at different time scales. We integrate physical and empirical modeling, according to which approach best suits the different involved levels of detail, and we additionally enable a form of interactive steering, while the process is illustrated. We demonstrate the suitability of our approach in the context of several polymerization processes and report from a first evaluation with domain experts. Conclusion: We conclude that our approach provides a new, hybrid modeling approach for illustrating the process of emergence in physiology, embedded in a densely filled environment. Our approach of a complementary fusion of three systems combines the strong points from the different modeling approaches and is capable to bridge different spatial and temporal scales.",illustrative animation,---
