ID;Author;Title;Year;Data Origin;Visual Dim;Space Scale Start;Space Scale Finish;Time Scale Start;Time Scale Finish;Level;Multi scale;Human;Phys/Anat;Survey model method tool;Old Purpose;Direct Vis;Vis analysis;Illus Vis;Purpose test;Purpose comment;Process;Structure;Origin;Concept;Ref. Image;Image Name;Bibtex Authors;Abstract;Keywords;Future work
39;Falk et al.;Atomistic Visualization of Mesoscopic Whole-Cell Simulations;2012;PDB;3;-9;-6;-6;0;Molecule,Organelle,Cell;0;1;Physiology;Method;Process analysis;0.5;0;0.5;1;direct visualization of molecular dynamics simulation with additional illustrative visual encoding;Cell signaling;Cell;Vis;Molecular visualization for biochemical simulation of the cell signaling, going from molecules to the wholecell.;#NAME?;falk2012.jpg;M. Falk, M. Krone and T. Ertl;Molecular visualizations are a principal tool for analyzing the results of biochemical simulations. With modern GPU ray casting approaches it is only possible to render several millions of atoms at interactive frame rates unless advanced acceleration methods are employed. But even simplified cell models of whole-cell simulations consist of at least several billion atoms. However, many instances of only a few different proteins occur in the intracellular environment, which is beneficial in order to fit the data into the graphics memory. One model is stored for each protein species and rendered once per instance. The proposed method exploits recent algorithmic advances for particle rendering and the repetitive nature of intracellular proteins to visualize dynamic results from mesoscopic simulations of cellular transport processes. We present two out-of-core optimizations for the interactive visualization of data sets composed of billions of atoms as well as details on the data preparation and the employed rendering techniques. Furthermore, we apply advanced shading methods to improve the image quality including methods to enhance depth and shape perception besides non-photorealistic rendering methods.;animation;Add rotation to the dynamics of protein
40;Fang et al.;Visualization and exploration of time-varying medical image data sets;2007;Simulation,SPECT,PET;3;-3;-2;0;0;Organ;0;1;Physiology;Method;Process analysis;0;1;0;1;visual analysis methods;medical data set - lung;Heart + Lung + Liver;Graphics Interface;Fang et al. propose and compare three methods for the visualization and exploration of time-varying volumetric medical images based on the temporal characteristics of the data. Three methods to analyze and visualize time-varying data, with 1D, 2D histogram, and 2D scatter-plot with multi-dimensional scaling.;#NAME?;fang.jpg;Zhe Fang, Torsten Moller, Ghassan Hamarneh, and Anna Celler;In this work, we propose and compare several methods for the visualization and exploration of time-varying volumetric medical images based on the temporal characteristics of the data. The principle idea is to consider a time-varying data set as a 3D array where each voxel contains a time-activity curve (TAC). We define and appraise three different TAC similarity measures. Based on these measures we introduce three methods to analyze and visualize time-varying data. The first method relates the whole data set to one template TAC and creates a 1D histogram. The second method extends the 1D histogram into a 2D histogram by taking the Euclidean distance between voxels into account. The third method does not rely on a template TAC but rather creates a 2D scatter-plot of all TAC data points via multi-dimensional scaling. These methods allow the user to specify transfer functions on the 1D and 2D histograms and on the scatter plot, respectively. We validate these methods on synthetic dynamic SPECT and PET data sets and a dynamic planar Gamma camera image of a patient. These techniques are designed to offer researchers and health care professionals a new tool to study the time-varying medical imaging data sets.;time curve, histogram, volume, 3D view, brushing;---
41;Feng et al.;Visualization of biomedical processes: local quantitative physiological functions in living human body;2000;PET;3;-3;-2;0;0;Organ;0;1;Physiology;Survey;Process analysis;1;0;0;1;direct visualization;medical imaging;Brain;Vis;Feng et al.  have conducted a study of different approaches for visualization of PET data of human brain activity through color mapping.;---;feng.jpg;Dagan Feng, Weidong Cai;Functional imaging with dynamic positron emission tomography (PET) has been playing a crucial and expanding role in biomedical research and clinical diagnosis, providing image-wide quantitative and qualitative physiological functions in the human body, and supporting visualization of the distribution of these functions corresponding to anatomical structures. A number of parametric imaging algorithms have been developed. In this paper, we give a brief study on some existing and our recently developed techniques for generating parametric images. An integrated system for functional image data processing and visualization, and a web-based application are presented.;small multiples, color coded;---
42;Fenner et al.;The EuroPhysiome, STEP and a roadmap for the virtual physiological human;2008;Simulation;0;-9;-2;-9;5;All;1;1;Physiology;Model;Process modeling;0;0;0;0;modeling;Human physiology;Human body;Interdisciplinary;Project for simulating th whole human physiology;---;---;J. W. Fenner, B. Brook, G. Clapworthy, P. V. Coveney, V. Feipel, H. Gregersen, D. R. Hose, P. Kohl, P. Lawford, K. M. McCormack, D. Pinney, S. R. Thomas, S. van Sint Jan, S.Waters, M.Vicecnoti;Biomedical science and its allied disciplines are entering a new era in which computational methods and technologies are poised to play a prevalent role in supporting collaborative investigation of the human body. Within Europe, this has its focus in the virtual physiological human (VPH), which is an evolving entity that has emerged from the EuroPhysiome initiative and the strategy for the EuroPhysiome (STEP) consortium. The VPH is intended to be a solution to common infrastructure needs for physiome projects across the globe, providing a unifying architecture that facilitates integration and prediction, ultimately creating a framework capable of describing Homo sapiens in silico. The routine reliance of the biomedical industry, biomedical research and clinical practice on information technology (IT) highlights the importance of a tailor-made and robust IT infrastructure, but numerous challenges need to be addressed if the VPH is to become a mature technological reality. Appropriate investment will reap considerable rewards, since it is anticipated that the VPH will influence all sectors of society, with implications predominantly for improved healthcare, improved competitiveness in industry and greater understanding of (patho)physiological processes. This paper considers issues pertinent to the development of the VPH, highlighted by the work of the STEP consortium.;---;---
43;Fioravante et al.;Visualizing motional correlations in molecular dynamics using geometric deformations;2013;Simulation;3;-9;-9;-15;-12;Molecule;0;1;Physiology;Method;Process analysis;0.25;0;0.75;1;visualizing motion through more illustrative method;allosteric effect;PDB:NS5B;Vis;In the work of Fiovarante et al., the authors are presenting a molecule as a set of spheres colored by the covariance values with the other points in molecule. Authors are able to represent different conformations of the molecules, cluster them, and show the path of correlations in case of reaction..;#NAME?;fioravante.jpg;M. Fioravante, A. Shook, I. Thorpe, and P. Rheingans;In macromolecules, an allosteric effect is said to occur when a change at one site of a molecule affects a distant site. Understanding these allosteric effects can be important for understanding how the functions of complex molecules such as proteins are regulated. One potential application of this knowledge is the development of small molecules that alter the function of proteins involved in diseases. Studying motional correlation can help researchers to discover how a change at a source site affects the target site and thus how allosteric ligands that could serve as drugs are able to exert their therapeutic effects. By improving our ability to analyze these correlated relationships, it may be possible to develop new medications to combat deadly diseases such as Hepatitis C. We present four visual techniques which represent motional correlation on rendered three-dimensional molecular models, providing new ways to view clusters of correlated residues and paths of allosteric interactions. These techniques give us a new way of investigating the presence of motional correlations in complex molecules. We compare each of these techniques to determine which are the most useful for representing motional correlations.;color coded, mesh;Extending by smooth geometric deformation
44;Forkert et al.;4D Blood Flow Visualization Fusing 3D and 4D MRA Image Sequences;2012;MRI;3;-3;-2;0;0;Organ;0;1;Physiology;Method;Process modeling;1;0;0;1;direct visualization with color encoding;blood flow;Vessel;Medical imaging;Forkert et al. present and evaluate the feasibility of a novel automatic method for generating 4D blood flow visualizations fusing high spatial resolution 3D and time-resolved (4D) magnetic resonance angiography (MRA) datasets.;#NAME?;forkert.jpg;Nils Daniel Forkert, Jens Fiehler, Till Illies, Dietmar P.F. Moller, Heinz Handels, and Dennis Saring;Purpose: To present and evaluate the feasibility of a novel automatic method for generating 4D blood flow visualizations fusing high spatial resolution 3D and time-resolved(4D) magnetic resonance angiography (MRA) datasets. Materials and Methods: In a first step, the cerebrovascular system is segmented in the 3D MRA dataset and a surface model is computed. The hemodynamic information is extracted from the 4D MRA dataset and transferred to the surface model using rigid registration where it can be visualized color-coded or dynamically over time. The presented method was evaluated using software phantoms and 20 clinical datasets from patients with an arteriovenous malformation. Clinical evaluation was performed by comparison of Spetzler-Martin scores determined from the 4D blood flow visualizations and corresponding digital subtraction angiographies. Results: The performed software phantom validation showed that the presented method is capable of producing reliable visualization results for vessels with a minimum diameter of 2 mm for which a mean temporal error of 0.27 seconds was achieved. The clinical evaluation based on 20 datasets comparing the 4D visualization to DSA images revealed an excellent interrater reliability. Conclusion: The presented method enables an improved combined representation of blood flow and anatomy while reducing the time needed for clinical rating.;flow visualization, streamtubes, slice rendering;Improvement ifblood flow is artificially modeled for vessel structures with a diameter less than 2 mm
45;Friman et al.;Probabilistic 4D Blood Flow Mapping;2010;PC-MRI;3;-3;-2;-3;0;Organ;0;1;Physiology;Method;Process analysis;0.5;0;0.5;1;direct visualization and flow modeling;blood flow;artery;Medical imaging;In every measurement of the blood flow, we can find some level of uncertainty. Friman et al. derived the statistical properties of 4D phase-contrast images and a map them based on sequential Monte Carlo sampling in the model of human aorta.;#NAME?;friman.jpg;Ola Friman, Anja Hennemuth, Andreas Harloff, Jelena Bock, Michael Markl, and Heinz-Otto Peitgen;Blood flow and tissue velocity can be measured using phasecontrast MRI. In this work, the statistical properties of 4D phase-contrast images are derived, and a novel probabilistic blood flow mapping method based on sequential Monte Carlo sampling is presented. The resulting flow maps visualize and quantify the uncertainty in conventional flow visualization techniques such as streamlines and particle traces.;flow visualization, probabilistic streamlines, volume;Employ the method for flow pattern quantification.
46;Frydrychowicz et al.;Visualization of vascular hemodynamics in a case of a large patent ductus arteriosus using flow sensitive 3D CMR at 3T;2007;MRI;3;-3;-2;0;0;Organ;0;1;Physiology;Method;Direct visualization;0.75;0.25;0;1;direct visualization of 3D CMR;Hemodynamics;Heart - Aorta;Medical Imaging;Frydrychowicz et al. created a pathline visualization of blood flow from time-resolved 3D contrast CMR with 3D velocity encoding.;#NAME?;frydrychowicz.jpg;Alex Frydrychowicz, Thorsten A. Bley, Sven Dittrich, Jurgen Hennig, Mathias Langer, and Michael Markl;Comprehensive flow velocity acquisition based on time-resolved three-dimensional phasecontrast CMR with three-directional velocity encoding was employed to assess arterial hemodynamics in a patient with a large patent ductus arteriosus with Eisenmenger's physiology. Computer-aided visualization of blood flow characteristics provided detailed information about temporal and spatial distribution of left and right ventricular outflow. Main findings included the depiction of the location and extent of two flow channels for systolic aortic filling, a relatively large amount of pulmonary artery to aortic flow confirming Eisenmenger's physiology, and a slight phase difference between right and left ventricular ejection. These results illustrate the feasibility of flow sensitive 3D CMR at 3T in relation to a potential field of clinical application such as congenital heart disease with abnormal vascular connections or shunt flow.;flow visualization, streamlines, color coded, volume, slice rendering;---
47;Furmanova et al.;Interactive Exploration of Ligand Transportation through Protein Tunnels;2016;Simulation;2;-9;-9;-12;-9;Molecule;0;1;Physiology;Method;Process analysis;0;1;0;1;visual analysis of ligan trajectory inside the protein tunnel;molecular dynamic;Proteins;Vis;Authors have proposed a visual analysis method, combining together a simplified 3D representation of the ligand trajectory with the scaterplots and boxplots showing additional ligan properties.;#NAME?;furmanova.jpg;Katar_x0013__x0010_na Furmanov_x0013_a, Miroslava Jare_x0014_sov_x0013_a, Jan By_x0014_ska, Adam Jur_x0014_cik, J_x0013_ulius Parulek, Helwig Hauser, and Barbora Kozlikov_x0013_a;Background: Protein structures and their interaction with ligands have been in the focus of biochemistry and structural biology research for decades. The transportation of ligand into the protein active site is often complex process, driven by geometric and physico-chemical properties, which renders the ligand path full of jitter and impasses. This prevents understanding of the ligand transportation and reasoning behind its behavior along the path. Results: To address the needs of the domain experts we design an explorative visualization solution based on a multi-scale simplification model. It helps to navigate the user to the most interesting parts of the ligand trajectory by exploring different attributes of the ligand and its movement, such as its distance to the active site, changes of amino acids lining the ligand, or ligand "stuckness". The process is supported by three linked views - 3D representation of the simplified trajectory, scatterplot matrix, and bar charts with line representation of ligand-lining amino acids. Conclusions: The usage of our tool is demonstrated on molecular dynamics simulations provided by the domain experts. The tool was tested by the domain experts from protein engineering and the results confirm that it helps to navigate the user to the most interesting parts of the ligand trajectory and to understand the ligand behavior.;flow visualization, simplified trajectory, color coded, scatterplot, boxplot, brushing;---
48;Gasteiger et al.;The FLOWLENS: A Focus-and-Context Visualization Approach for Exploration of Blood Flow in Cerebral Aneurysms;2011;PC-MRI;3;-3;-2;0;0;Organ;0;1;Physiology;Method;Process analysis;0.25;0;0.75;1;illustrative approach to see blood flow;blood flow;artery;Vis;Gasteiger et al. present flowlens for exploration of blood flow in cerebral aneurysms illustrative visualization to explore several hemodynamic attributes like the wall shear stress (WSS) and the inflow jet.;#NAME?;gasteiger.jpg;Rocco Gasteiger, Mathias Neugebauer, Oliver Beuing, and Bernhard Preim;Blood flow and derived data are essential to investigate the initiation and progression of cerebral aneurysms as well as their risk of rupture. An effective visual exploration of several hemodynamic attributes like the wall shear stress (WSS) and the inflow jet is necessary to understand the hemodynamics. Moreover, the correlation between focus-and-context attributes is of particular interest. An expressive visualization of these attributes and anatomic information requires appropriate visualization techniques to minimize visual clutter and occlusions. We present the FLOWLENS as a focus-and-context approach that addresses these requirements. We group relevant hemodynamic attributes to pairs of focus-and-context attributes and assign them to different anatomic scopes. For each scope, we propose several FLOWLENS visualization templates to provide a flexible visual filtering of the involved hemodynamic pairs. A template consists of the visualization of the focus attribute and the additional depiction of the context attribute inside the lens. Furthermore, the FLOWLENS supports local probing and the exploration of attribute changes over time. The FLOWLENS minimizes visual cluttering, occlusions, and provides a flexible exploration of a region of interest. We have applied our approach to seven representative datasets, including steady and unsteady flow data from CFD simulations and 4D PC-MRI measurements. Informal user interviews with three domain experts confirm the usefulness of our approach.;flow visualization, pathlines, focus and context;Investigate how effective and expressive seeding strategies can be incorporated during the visual exploration
49;Gerhard et al.;The connectome viewer toolkit: an open source framework to manage, analyze, and visualize connectomes.;2011;MRI;3;-3;-2;---;---;Organ;0;1;Anatomy;Tool;Structure analysis;0;1;0;1;tool to visualy analyse the connectome data;---;Brain;Neuroinformatics;Gerhard et al. presented Connectom Viewer toolkit: a framework to create a visualization of neural data set, and to provide visual analysis of the brain network and structure.;#NAME?;gerhard.jpg;Stephan Gerhard, Alessandro Daducci, Alia Lemkaddem, Reto Meuli, Jean-Philippe Thiran, Patric Hagmann;Advanced neuroinformatics tools are required for methods of connectome mapping, analysis, and visualization. The inherent multi-modality of connectome datasets poses new challenges for data organization, integration, and sharing. We have designed and implemented the Connectome Viewer Toolkit - a set of free and extensible open source neuroimaging tools written in Python. The key components of the toolkit are as follows: (1) The Connectome File Format is an XML-based container format to standardize multi-modal data integration and structured metadata annotation. (2) The Connectome File Format Library enables management and sharing of connectome files. (3) The Connectome Viewer is an integrated research and development environment for visualization and analysis of multi-modal connectome data. The Connectome Viewer's plugin architecture supports extensions with network analysis packages and an interactive scripting shell, to enable easy development and community contributions. Integration with tools from the scientific Python community allows the leveraging of numerous existing libraries for powerful connectome data mining, exploration, and comparison. We demonstrate the applicability of the Connectome Viewer Toolkit using Diffusion MRI datasets processed by the Connectome Mapper. The Connectome Viewer Toolkit is available from http://www.cmtk.org/;brushing, connecting spatial and nonspatial information;---
50;Goodsell;Escherichia coli;2009;Microscope, X-ray;3;-9;-9;---;---;Molecule,Organelle;0;0;Anatomy;Model;Communication;0;0;1;1;illustration;---;E.Coli;Illustrator;Goodsell have authored a book showing a structural aspect of bacteria Escherichia coli insight. Even thou the level of details is in molecular level, the coloring, and encapsulation of the structures are following the notion of cell organelles.;#NAME?;goodsell.jpg;David S. Goodsell;Diverse biological data may be used to create illustrations of molecules in their cellular context. I describe the scientific results that support a recent textbook illustration of an Escherichia coli cell. The image magnifies a portion of the bacterium at one million times, showing the location and form of individual macromolecules. Results from biochemistry, electron microscopy, and X-ray crystallography were used to create the image.;illustration;
51;Gilja et al.;Three-dimensional ultrasonography of the gastric antrum in patients with functional dyspepsia;1996;US;3;-3;-2;0;0;Organ;0;1;Physiology;Method;Structure analysis;1;0;0;1;direct visualization;---;Stomach;Medical;Developed and validated a three-dimensional ultrasound system for transabdominal imaging;#NAME?;gilja.jpg;H. GILJA, T. HAUSKEN, S. ODEGAARD & A. BERSTAD;We have developed and validated a three-dimensional ultrasound system for transabdominal imaging. The aims of this study was to evaluate its applicability in scanning and volume estimation of the gastric antrum in humans. Merhodr: Twenty patients with functional dyspepsia and 20 healthy controls, comparable with regard to gender, age, and smoking habits, agreed to be scanned while ingesting 500 ml of meat soup. A mechanical scanner with a 3.25-MHz transducer coupled to a tilting motor provided in 3sec multiple images of the antrum during fasting and 1, 10, and 30min postprandially. On a Unix work station planar contours of the antrum were selected and drawn manually before organ reconstruction and volume computation. Results: Two volume scans of 160 could not be analyzed due to air in the antrum. Up to 5 cm proximal to the pylorus, volumes could be computed in 95% of fasting samples and in 98% of postprandial samples, versus 8% and 75%, respectively, up to 7 cm proximal to the pylorus. We found no significant differences in antral volumes between dyspeptic patients and controls, either fasting or postprandially. Fasting antral volumes in Helicobacter pylori-positive dyspeptics were smaller than in H. pylori-negative patients (P = 0.02). Conclusions: Three-dimensional ultrasonography by use of a tilting motor makes non-invasive volume estimation of the gastric antrum possible without making assumptions about its geometry. In the present material no difference was found in antral volumes between patients with functional dyspepsia and controls. It is possible that fasting antral volumes in dyspeptic patients are dependent on H. pylori status;small multiples, volume, mesh;---
52;Glaßer et al.;A visual analytics approach to diagnosis of breast DCE-MRI data;2010;CE-MRI;3;-3;-2;---;---;Organ;0;1;Anatomy;Method;Structure analysis;0;1;0;1;visual analysis;---;Breast;Vis;A visual analytics approach for the evaluation of breast tumors in DCE-MRI data;#NAME?;glasser.jpg;Sylvia Glaßer, Uta Preim, Klaus Tonnies, and Bernhard Preim;Dynamic contrast-enhanced magnetic resonance imaging (DCE-MRI) of the breast is the most sensitive image modality for the detection of invasive breast cancer. To increase the moderate specificity of DCE-MRI, and therefore, the distinction of benign and malign ant tumors, the tumor's heterogeneity and the tumor's enhancement kinetics have to be evaluated. In clinical practice, the tumor's enhancement  kinetics are analyzed via time-intensity curves after manual placement of regions of interest (ROI). A substantial limitation of the ROI analysis is the inter-observervariability as well as the potential distortion of the ROI's average curve, e.g. if the ROI covers benign and malign ant tumor tissue. We present a visual analytics approach for breast tumors in DCE-MRI data that comprises a voxel wise glyph based overview and a region based analysis. The regions are extracted via region merging and each region contains voxels with similar perfusion characteristics. As a result, we avoid the inter observervariability and reduce distortion due to averaging over differently perfused tissue. A comparative study of 20 datasets was carried out to test our approach and an adapted time intensity curve classification method. Moreover, the influence of similarity measurements and a potential region based exploration are discussed. In conclusion, the presented features as similarity criteria yield the best results regarding the finer classification of the early contrast agent accumulation and the region's enhancement kinetics in the intermediate and late post contrast phase since spatial information is included and the merging of regions with different perfusion characteristics is impeded.;brushing, voxel-wise glyph, regions specification, connecting spatial and nonspatial information, brushing;the local information, that is employed for the merge step during the segmentation process, could be analyzed for an improved local registration.
53;Grbic et al.;Complete valvular heart apparatus model from 4D cardiac CT;2012;CT;3;-3;-2;---;---;Organ;0;1;Anatomy;Model;Structure analysis;1;0;0;1;modeling of the heart from the data;---;Heart;Medical imaging;Inside the heart are positioned system of valvular aparatus, composed of the aortic, mitral, pulmonary and tricuspid valve. As this system handles the transportation of blood between the heart parts, it is an essential part of the anatomical, functional and hemodynamic characteristics of the heart and the cardio-vascular system as a whole. Gribc et al. \cite{grbic:2010} have proposed a complete and modular patient-specific model of the cardiac valvular apparatus estimated from 4D cardiac CT data using a discriminative learning-based approach. From 4D CT a set of landmarks are extracted for each valve, to provide a measured constraints for generation of the complete heart model. The model is capable to delineate the full anatomy and dynamics needed to depict a large variation of valve pathologies, especially diseases affecting several valves.;#NAME?;grbic.jpg;Razvan Ioan Ionasec, Sasa Grbic, Dime Vitanovski, Ingmar Voigt, Bogdan Georgescu, Fernando Vega-Higuera, and Dorin Comaniciu;The cardiac valvular apparatus, composed of the aortic, mitral, pulmonary and tricuspid valve, is an essential part of the anatomical, functional and hemodynamic characteristics of the heart and the cardio-vascular system as a whole. Valvular heart diseases often involve multiple dysfunctions and require joint assessment and therapy of the valves. In this paper, we propose a complete and modular patient-specific model of the cardiac valvular apparatus estimated from 4D cardiac CT data. A new constrained Multi-linear Shape Model (cMSM), conditioned by anatomical measurements, is introduced to represent the complex spatio-temporal variation of the heart valves. The cMSM is exploited within a learning-based framework to e_x000e_ciently estimate the patient-specific valve parameters from cine images. Experiments on 64 4D cardiac CT studies demonstrate the performance and clinical potential of the proposed method. To the best of our knowledge, it is the first time cardiologists and cardiac surgeons can benefit from an automatic quantitative evaluation of the complete valvular apparatus based on non-invasive imaging techniques. In conjunction with existent patient-specific chamber models, the presented valvular model enables personalized computation modeling and realistic simulation of the entire cardiac system.;volume, mesh, combination rendering;---
54;Gresh et al.;WEAVE: a system for visually linking 3-D and statistical visualizations applied to cardiac simulation and measurement data;2000;MRI, Simulation;3;-3;-2;-3;-3;Organ;0;1;Physiology;Tool;Process analysis;0;1;0;1;visual analysis;heart activation phase;Heart;Vis;Human heart beats regularly 60 times per minute in average. When the heart doesn't beat properly, it can't pump blood effectively. When the heart doesn't pump blood effectively, the lungs, brain and all other organs can't work properly and may shut down or be damaged. Arrhythmia is one of possible causes of such pathology, and it refers to any change from the normal sequence of electrical impulses. The electrical impulses may happen too fast, too slowly, or erratically – causing the heart to beat too fast, too slowly, or erratically. Gresh et al. \cite{gresh:2000} have created a visualization system, which links together simulation data, measurement data, and 3-d anatomical data concerning the propagation of excitation in the heart. The user can brush in any statistical presentation of physiological data such as, concentrations of calcium, voltage, potassium currents and others, and see the colors reflected not only in the other statistical presentations but also in the 3-D view.;#NAME?;gresh.jpg;D.L. Gresh, B.E. Rogowitz, R.L. Winslow, D.F. Scollan, and C.K. Yung;WEAVE (Workbench Environment for Analysis and Visual Exploration) is an environment for creating interactive visualization applications. WEAVE differs from previous systems in that it provides transparent linking between custom 3-D visualizations and multidimensional statistical representations, and provides interactive color brushing betwen all visualizations. In this paper, we demonstrate how WEAVE can be used to rapidly prototype a biomedical application, weaving together simulation data, measurement data, and 3-d anatomical data concerning the propagation of excitation in the heart. These linked statistical and custom three-dimensional visualizations of the heart can allow scientists to more effectively study the correspondance of structure and behavior.;scatter plot, histogram, brushing, connecting spatial and nonspatial information;---
55;Gunther et al.;Characterizing Molecular Interactions in Chemical Systems;2014;Simulation;3;-9;-9;-9;-9;Molecule;0;1;Physiology;Method;Process analysis;0.25;0;0.75;1;direct visualization of molecular properties with illustrations;Molecular dynamic;Molecule;Vis;Gunther et al. has proposed a system to visualize the surface of atoms, and their force-based connections with other atoms. System is helpful for the study of molecular folding process, bonding, and self-assembly.;#NAME?;gunther.jpg;David Gunther, Roberto A. Boto, Julia Contreras-Garcia, Jean-Philip Piquemal, and Julien Tierny;Interactions between atoms have a major influence on the chemical properties of molecular systems. While covalent interactions impose the structural integrity of molecules, noncovalent interactions govern more subtle phenomena such as protein folding, bonding or self assembly. The understanding of these types of interactions is necessary for the interpretation of many biological processes and chemical design tasks. While traditionally the electron density is analyzed to interpret the quantum chemistry of a molecular system, noncovalent interactions are characterized by low electron densities and only slight variations of them - challenging their extraction and characterization. Recently, the signed electron density and the reduced gradient, two scalar fields derived from the electron density, have drawn much attention in quantum chemistry since they enable a qualitative visualization of these interactions even in complex molecular systems and experimental measurements. In this work, we present the first combinatorial algorithm for the automated extraction and characterization of covalent and noncovalent interactions in molecular systems. The proposed algorithm is based on a joint topological analysis of the signed electron density and the reduced gradient. Combining the connectivity information of the critical points of these two scalar fields enables to visualize, enumerate, classify and investigate molecular interactions in a robust manner. Experiments on a variety of molecular systems, from simple dimers to proteins or DNA, demonstrate the ability of our technique to robustly extract these interactions and to reveal their structural relations to the atoms and bonds forming the molecules. For simple systems, our analysis corroborates the observations made by the chemists while it provides new visual and quantitative insights on chemical interactions for larger molecular systems.;arrow glyphs, topological analysis;---
56;Harloff et al.;3D Blood Flow Characteristics in the Carotid Artery Bifurcation Assessed by Flow-Sensitive 4D MRI at 3T;2009;MRI;3;-3;-2;-3;0;Organ;0;1;Physiology;Method;Process analysis;0.75;0.25;0;1;direct visualization of 4D CMR;blood flow;Vessel;Medical imaging;Harloff et al. created a pathline visualization  of flow from 3D MRI.;#NAME?;harloff.jpg;A. Harloff, F. Albrecht, J. Spreer, A.F. Stalder, J. Bock, A. Frydrychowicz, J. Schollhorn, A. Hetzel, M. Schumacher, J. Hennig, and M. Markl;To determine three-dimensional (3D) blood flow patterns in the carotid bifurcation, 10 healthy volunteers and nine patients with internal carotid artery (ICA) stenosis ?50% were examined by flow-sensitive 4D MRI at 3T. Absolute and mean blood velocities, pulsatility index (PI), and resistance index (RI) were measured in the common carotid arteries (CCAs) by duplex sonography (DS) and compared with flow-sensitive 4D MRI. Furthermore, 3D MRI blood flow patterns in the carotid bifurcation of volunteers and patients before and after recanalization were graded by two independent readers. Blood flow velocities measured by MRI were 31-39% lower than in DS. However, PI and RI differed by only 13-16%. Rating of 3D flow characteristics in the ICA revealed consistent patterns for filling and helical flow in volunteers. In patients with ICA stenosis, 3D blood flow visualization was successfully employed to detect markedly altered filling and helical flow patterns (forward-moving spiral flow) in the ICA bulb and to evaluate the effect of revascularization, which restored filling and helical flow. Our results demonstrate the feasibility of flow-sensitive 4D MRI for the quantification and 3D visualization of physiological and pathological flow patterns in the carotid artery bifurcation.;flow visualization, arrows, pathlines, color coded;---
57;Heimdal et al.;Real-time strain rate imaging of the left ventricle by ultrasound.;1998;US;2;-2;-2;0;0;Organ;0;1;Physiology;Method;Process analysis;1;0;0;1;direct visualization;left ventricle deformation;Heart;Medical;During heartbeat, the heart is deformed. Measurement for the rate of deformation is called \textit{strain rate}. Strain rate is important measure for detection of the heart dysfunction from the infarction. Heimdal et al. \cite{heimdal:1998} have developed a method to derive this information from Doppler ultrasound, and visualize it on color-coded 2D cine loop, showing the strain rate component along the ultrasound beam axis.;#NAME?;heimdal.jpg;Andreas Heimdal, Asbjørn Støylen, Hans Torp, and Terje Skjærpe;The regional function of the left ventricle can be visualized in real-time using the new strain rate imaging method. Deformation or strain of a tissue segment occurs over time during the cardiac cycle. The rate of this deformation, the strain rate, is equivalent to the velocity gradient, and can be estimated using the tissue Doppler technique. We present the strain rate as color-coded 2-dimensional cine-loops and color M-modes showing the strain rate component along the ultrasound beam axis. We tested the method in 6 healthy subjects and 6 patients with myocardial infarction. In the healthy hearts, a spatially homogeneous distribution of the strain rate was found. In the infarcted hearts, all the infarcted areas in this study showed up as hypokinetic or akinetic, demonstrating that this method may be used for imaging of regional dysfunction. Shortcomings of the method are discussed, as are some possible future applications of the method.;b-mode, doppler, combination rendering;---
58;Hennemuth et al.;CT Late Enhancement Segmentation for the Combined Analysis of Coronary Arteries and Myocardial Viability;2008;CT;3;-3;-2;---;---;Organ;0;0;Anatomy;Method;Structure analysis;0.25;0.75;0;1;visual analysis with the combination of direct visualization;---;Heart;Vis;The coronary arteries supply oxygen-rich blood to the heart muscle. Coronary heart disease (CHD) is a disease in which a waxy substance called plaque builds up inside the coronary arteries, and limits a blood supply for the heart. Hennemuth et al. \cite{hennemuth:2008} have proposed a new method for the segmentation of late enhancement regions in CT images to allow a combination of coronary artery inspection with a viability analysis of the dependent myocardial tissue. (This is really on the edge of physiology, as it is just segmentation method).;#NAME?;hennemuth.jpg;A.Hennemuth, A. Mahnken, C. Kühnel, S. Oeltze, and H.-O. Peitgen;Non-invasive imaging techniques become more and more important as diagnostic tools for the assessment of coronary heart disease (CHD). While CT is widely applied for the inspection of the coronary arteries, the state of myocardial tissue is normally analyzed with MRI or nuclear imaging methods such as PET or SPECT. The effect of late enhancement, the accumulation of contrast agent in defective tissue, is used to assess tissue viability with MR imaging. Studies have shown, that this effect can be observed for iodine based contrast agents, which are used for CT coronary artery imaging, as well. Thus the goal of this work is the development of segmentation and visualization methods, which allow a combined inspection of the coronary arteries and the viability of the corresponding myocardial tissue. We therefore present a new segmentation method for the analysis of CT late enhancement images and the integration with methods for the inspection of the coronary arteries. In preliminary tests by a radiologist, the methods are applied to 4 datasets to compare the segmentation with the reference method, test the combined inspection for data with a known relation between infarction and supplying artery and test the general applicability to patient data. The preliminary results are promising, and further studies will focus on the evaluation of the segmentation method as well as on the clinical benefit through the combined analysis.;bullseye, histogram, 3D view, volume, brushing;---
